"code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"BBB","2014B",2108614,"F","Wales","HE Qualification","60-70pct","35 to 55",0,60,"N","Pass"
"CCC","2014J",654828,"M","South Region","A Level or Equivalent","80-90pct","0 to 35",0,120,"N","Pass"
"DDD","2013B",130003,"M","East Anglian Region","A Level or Equivalent","50-60pct","35 to 55",0,60,"N","Withdrawn"
"BBB","2014J",652744,"F","East Anglian Region","Lower Than A Level","80-90pct","0 to 35",0,240,"N","Withdrawn"
"FFF","2013J",136894,"M","West Midlands Region","A Level or Equivalent","70-80pct","0 to 35",0,60,"N","Fail"
"BBB","2013J",535168,"F","Yorkshire Region","Lower Than A Level","20-30pct","0 to 35",1,60,"N","Fail"
"FFF","2014J",578152,"M","East Midlands Region","Lower Than A Level","50-60pct","0 to 35",0,120,"N","Withdrawn"
"AAA","2014J",130636,"M","South East Region","Post Graduate Qualification","60-70pct","35 to 55",1,60,"N","Pass"
"FFF","2014J",575710,"M","North Region","Lower Than A Level","0-10pct","0 to 35",1,60,"N","Withdrawn"
"EEE","2013J",507844,"M","Yorkshire Region","A Level or Equivalent","0-10pct","35 to 55",0,30,"Y","Fail"
"EEE","2013J",605908,"F","Yorkshire Region","Lower Than A Level","10-20","35 to 55",0,60,"N","Fail"
"BBB","2013J",197240,"F","Wales","HE Qualification","30-40pct","0 to 35",0,60,"N","Fail"
"BBB","2014B",606075,"F","West Midlands Region","A Level or Equivalent","30-40pct","0 to 35",0,120,"N","Withdrawn"
"DDD","2014B",523978,"F","North Region","Post Graduate Qualification","20-30pct","0 to 35",1,60,"N","Pass"
"DDD","2014J",694871,"M","Wales","Lower Than A Level","10-20","0 to 35",0,240,"Y","Withdrawn"
"BBB","2014B",117699,"F","Scotland","Lower Than A Level","70-80pct","35 to 55",1,120,"N","Withdrawn"
"FFF","2014J",617010,"F","Wales","Lower Than A Level","30-40pct","0 to 35",1,90,"N","Pass"
"GGG","2013J",2462584,"F","South West Region","Lower Than A Level","50-60pct","35 to 55",0,30,"N","Fail"
"DDD","2013J",479141,"F","South Region","A Level or Equivalent","50-60pct","0 to 35",0,60,"Y","Fail"
"BBB","2013B",541764,"F","Yorkshire Region","A Level or Equivalent","50-60pct","0 to 35",0,60,"N","Fail"
"GGG","2013J",605861,"F","East Anglian Region","A Level or Equivalent","30-40pct","0 to 35",0,30,"N","Pass"
"CCC","2014B",300594,"M","South West Region","Lower Than A Level","30-40pct","0 to 35",0,40,"N","Withdrawn"
