code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
CCC,2014J,578421,F,Scotland,A Level or Equivalent,30-40pct,35 to 55,0,60,N,Pass
FFF,2013J,516746,M,Scotland,HE Qualification,60-70pct,0 to 35,0,60,N,Distinction
EEE,2014B,477732,M,South West Region,Lower Than A Level,60-70pct,0 to 35,0,60,N,Pass
BBB,2014J,667103,F,Yorkshire Region,HE Qualification,20-30pct,35 to 55,0,60,N,Pass
CCC,2014J,556460,M,East Anglian Region,HE Qualification,80-90pct,0 to 35,0,60,N,Pass
DDD,2013J,505819,M,South Region,Lower Than A Level,50-60pct,0 to 35,0,120,N,Pass
FFF,2013J,550542,M,South Region,A Level or Equivalent,80-90pct,0 to 35,0,120,N,Withdrawn
BBB,2014B,1943968,F,South East Region,A Level or Equivalent,50-60pct,35 to 55,0,60,N,Fail
CCC,2014J,136196,M,London Region,A Level or Equivalent,30-40pct,0 to 35,0,120,N,Withdrawn
DDD,2013J,660269,M,North Western Region,A Level or Equivalent,30-40pct,0 to 35,0,60,N,Pass
FFF,2014B,518310,M,West Midlands Region,A Level or Equivalent,80-90pct,0 to 35,1,120,N,Withdrawn
CCC,2014J,529837,F,North Western Region,HE Qualification,20-30pct,35 to 55,0,120,N,Withdrawn
BBB,2013J,409487,F,North Region,Lower Than A Level,20-30pct,0 to 35,0,181,N,Withdrawn
CCC,2014J,293863,F,Scotland,A Level or Equivalent,30-40pct,35 to 55,0,30,N,Pass
EEE,2014J,608587,M,South Region,A Level or Equivalent,70-80pct,0 to 35,0,60,N,Fail
GGG,2014B,465030,M,South East Region,A Level or Equivalent,60-70pct,0 to 35,0,60,N,Withdrawn
GGG,2013B,428979,F,East Anglian Region,Lower Than A Level,30-40pct,0 to 35,0,60,N,Fail
BBB,2013B,568154,M,East Anglian Region,HE Qualification,50-60pct,0 to 35,0,60,N,Withdrawn
FFF,2014B,505013,M,South Region,Lower Than A Level,80-90pct,0 to 35,0,120,N,Pass
BBB,2014B,609696,F,East Anglian Region,Lower Than A Level,40-50pct,0 to 35,0,90,N,Pass
FFF,2014B,579786,M,North Western Region,A Level or Equivalent,30-40pct,35 to 55,0,60,N,Fail
BBB,2013B,491047,F,North Western Region,HE Qualification,30-40pct,0 to 35,0,150,N,Withdrawn
BBB,2014J,568508,F,South East Region,HE Qualification,50-60pct,0 to 35,0,60,N,Pass
GGG,2014B,605993,F,London Region,Lower Than A Level,30-40pct,0 to 35,0,60,N,Pass
DDD,2014J,604539,F,East Anglian Region,HE Qualification,40-50pct,0 to 35,0,60,N,Withdrawn
DDD,2013J,559042,M,North Western Region,HE Qualification,40-50pct,35 to 55,0,90,N,Pass
DDD,2013J,2487047,M,East Anglian Region,Lower Than A Level,70-80pct,35 to 55,0,60,N,Withdrawn
FFF,2014B,574978,M,London Region,A Level or Equivalent,20-30pct,35 to 55,0,60,N,Pass
BBB,2014B,669929,F,South West Region,A Level or Equivalent,60-70pct,0 to 35,0,60,N,Distinction
BBB,2014B,2621096,F,South Region,A Level or Equivalent,30-40pct,35 to 55,0,60,N,Distinction
FFF,2013J,532798,M,North Western Region,HE Qualification,30-40pct,0 to 35,0,90,N,Withdrawn
FFF,2013J,516101,M,East Anglian Region,Lower Than A Level,60-70pct,0 to 35,0,60,N,Pass
BBB,2013B,474855,F,South East Region,A Level or Equivalent,80-90pct,0 to 35,0,60,N,Pass
EEE,2014J,544149,M,North Western Region,A Level or Equivalent,80-90pct,35 to 55,0,60,N,Withdrawn
DDD,2013J,2632973,F,Scotland,Lower Than A Level,30-40pct,35 to 55,0,90,N,Pass
FFF,2014J,602586,M,East Anglian Region,A Level or Equivalent,30-40pct,0 to 35,0,120,N,Distinction
FFF,2013B,539192,M,South West Region,Lower Than A Level,80-90pct,0 to 35,1,151,N,Fail
DDD,2014B,45054,M,Wales,HE Qualification,80-90pct,0 to 35,1,120,N,Fail
CCC,2014J,604655,M,North Western Region,A Level or Equivalent,30-40pct,0 to 35,0,90,N,Withdrawn
BBB,2013J,551402,F,Scotland,A Level or Equivalent,60-70pct,0 to 35,0,60,N,Pass
GGG,2013J,569546,F,North Western Region,A Level or Equivalent,70-80pct,0 to 35,0,60,N,Withdrawn
BBB,2014B,541088,M,Yorkshire Region,A Level or Equivalent,40-50pct,0 to 35,0,60,N,Withdrawn
AAA,2014J,1417714,M,Yorkshire Region,Lower Than A Level,20-30pct,35 to 55,0,60,N,Pass
FFF,2014J,555352,M,North Western Region,A Level or Equivalent,30-40pct,0 to 35,1,90,N,Fail
