school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,17,U,LE3,T,1,4,other,other,home,father,1,1,0,no,no,yes,yes,yes,yes,no,yes,1,2,4,1,2,5,28,6,11,4
GP,F,18,U,GT3,T,3,2,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,4,2,4,2,1,5,11,6,8,7
GP,M,17,U,GT3,T,2,2,services,other,other,mother,2,2,0,no,no,no,yes,yes,no,yes,yes,4,3,3,1,1,5,37,10,13,5
GP,M,17,U,LE3,T,3,2,services,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,2,3,1,2,3,15,6,19,7
GP,F,16,U,GT3,T,4,2,other,other,other,father,1,1,0,no,yes,yes,no,no,yes,yes,yes,2,2,4,1,1,5,20,7,19,4
GP,M,16,U,LE3,A,3,2,teacher,teacher,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,2,2,5,18,7,8,4
GP,F,19,U,GT3,T,3,4,at_home,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,5,4,2,1,1,5,0,8,12,7
GP,F,16,R,GT3,T,2,3,teacher,health,home,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,3,1,5,3,2,5,49,7,12,4
GP,F,20,U,GT3,T,3,2,health,services,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,2,4,1,4,5,45,6,0,5
MS,F,16,U,GT3,T,2,4,health,services,reputation,father,1,3,0,no,no,no,no,yes,yes,yes,no,4,3,4,1,2,5,0,7,19,8
MS,M,18,U,LE3,A,3,4,teacher,services,course,mother,1,1,1,yes,no,no,yes,yes,no,yes,no,3,5,5,2,2,2,4,7,18,4
GP,M,16,U,GT3,T,3,3,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,5,2,17,7,16,5
MS,M,18,U,GT3,T,3,2,other,services,course,mother,1,1,0,no,no,no,yes,no,yes,yes,no,4,3,2,2,2,5,28,7,16,4
GP,F,18,U,GT3,T,3,4,teacher,services,other,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,3,4,3,1,2,5,25,6,16,4
GP,F,16,U,GT3,T,3,3,at_home,other,home,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,1,2,4,2,1,3,29,6,14,5
GP,M,17,U,GT3,T,4,1,services,at_home,course,father,2,2,0,yes,yes,yes,no,no,yes,no,no,4,5,2,1,1,4,44,11,10,6
GP,M,15,U,LE3,T,3,1,other,other,home,mother,1,2,0,no,yes,yes,no,no,yes,no,yes,4,3,4,1,1,4,7,8,18,4
GP,F,17,U,GT3,T,4,4,health,health,course,mother,2,4,0,no,yes,no,no,no,yes,yes,yes,5,3,2,2,3,5,0,6,18,7
GP,F,15,U,GT3,T,2,2,other,teacher,reputation,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,1,4,1,3,5,47,6,19,8
GP,F,18,R,GT3,T,2,4,other,other,course,other,1,1,2,no,yes,yes,yes,yes,yes,yes,no,4,2,3,3,3,4,0,7,8,7
GP,M,18,U,LE3,T,2,4,other,at_home,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,3,1,29,6,16,5
GP,F,16,U,GT3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,no,no,4,4,2,1,1,4,0,6,17,6
MS,F,16,U,LE3,T,4,2,health,other,reputation,mother,1,1,3,no,yes,no,no,yes,yes,yes,no,3,4,2,2,1,5,18,7,18,6
GP,M,18,U,GT3,T,2,4,teacher,services,other,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,4,4,3,1,4,5,0,13,10,4
GP,F,15,U,GT3,A,3,2,at_home,other,reputation,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,3,4,3,1,1,3,0,6,12,5
GP,M,17,U,LE3,T,2,2,health,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,yes,4,5,5,1,1,5,0,13,11,5
GP,F,16,U,LE3,T,1,2,services,services,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,5,3,3,23,7,14,4
GP,M,18,R,LE3,T,3,4,other,other,course,mother,1,2,1,no,no,no,yes,yes,yes,yes,no,4,4,1,1,1,5,23,6,16,9
GP,M,18,U,LE3,T,3,3,health,teacher,home,other,1,4,1,no,yes,no,no,yes,yes,yes,no,4,2,5,1,2,5,10,6,17,6
GP,M,16,U,LE3,A,4,2,teacher,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,2,5,4,36,6,15,5
MS,F,17,U,LE3,T,3,4,other,other,course,father,1,1,0,yes,yes,no,no,no,yes,yes,no,4,4,3,1,2,3,26,7,16,6
GP,F,15,U,LE3,T,2,2,other,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,2,3,1,1,5,45,7,17,13
