school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,17,U,GT3,T,1,4,teacher,other,home,father,1,2,0,no,no,yes,yes,yes,yes,no,yes,1,5,4,1,1,5,7,14,2,12
GP,F,18,U,GT3,T,4,2,teacher,other,course,mother,2,2,0,no,yes,yes,no,no,yes,no,no,4,2,4,2,1,1,32,14,3,15
GP,M,17,U,GT3,T,2,3,services,other,other,mother,2,2,0,no,no,no,yes,yes,no,yes,yes,4,3,3,1,1,5,3,19,4,16
GP,M,17,U,LE3,T,2,3,services,other,reputation,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,2,2,1,2,3,23,17,7,2
GP,F,16,R,GT3,T,4,1,health,other,other,father,1,4,0,no,yes,yes,yes,no,yes,yes,yes,5,2,4,1,1,3,0,14,7,20
GP,M,16,U,LE3,A,3,2,teacher,at_home,course,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,2,1,5,75,5,0,14
GP,F,19,U,LE3,T,3,4,health,other,reputation,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,5,1,2,1,1,3,20,19,12,16
GP,F,16,R,GT3,T,2,2,teacher,other,home,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,1,4,3,1,5,53,19,8,9
GP,M,17,U,GT3,T,3,1,health,services,course,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,5,2,4,1,4,4,8,9,10,20
GP,F,16,R,GT3,T,2,4,health,other,reputation,father,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,26,14,5,15
MS,M,19,U,GT3,T,3,4,teacher,other,course,mother,1,3,1,yes,no,no,yes,yes,no,yes,no,3,5,5,2,2,2,21,9,12,0
GP,M,16,U,GT3,T,3,3,teacher,other,reputation,father,1,2,0,no,no,yes,no,yes,yes,yes,no,4,3,2,1,1,2,7,19,9,6
GP,M,18,U,GT3,T,3,1,other,services,course,mother,1,1,0,no,no,no,yes,no,yes,yes,no,4,3,5,2,1,3,15,19,19,14
GP,F,18,U,GT3,T,3,4,teacher,services,reputation,mother,2,3,0,no,no,no,no,yes,yes,yes,no,3,1,1,2,1,5,28,6,0,20
GP,F,16,U,GT3,T,3,3,teacher,other,home,father,3,2,0,no,yes,no,no,yes,yes,yes,no,4,2,4,2,1,3,6,7,5,15
GP,M,17,U,GT3,T,4,1,services,at_home,course,father,2,2,0,yes,no,yes,no,no,yes,no,no,4,5,2,1,1,4,6,10,0,18
GP,M,15,U,GT3,T,4,1,other,other,reputation,mother,1,2,0,no,no,yes,no,no,yes,yes,no,5,3,4,1,1,4,75,14,3,17
GP,M,17,U,GT3,T,4,3,health,health,course,mother,2,4,0,no,yes,yes,yes,no,yes,no,yes,5,3,2,2,3,5,29,11,11,16
GP,F,16,U,GT3,T,2,2,other,teacher,reputation,mother,1,3,0,no,no,yes,no,yes,yes,yes,yes,4,4,4,1,3,3,3,5,3,20
GP,F,18,R,GT3,T,2,4,other,other,course,mother,1,1,2,no,no,yes,yes,yes,yes,yes,no,4,2,4,3,1,4,25,16,11,12
GP,F,18,U,LE3,T,2,4,other,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,2,3,5,14,7,18
GP,F,16,U,GT3,T,2,3,at_home,other,course,mother,1,3,0,no,no,yes,yes,yes,yes,no,no,4,4,2,1,1,4,28,10,7,12
MS,F,17,U,GT3,T,4,2,services,health,reputation,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,4,2,2,1,5,0,13,3,11
GP,M,18,U,GT3,T,2,4,teacher,other,other,mother,1,2,1,yes,no,yes,no,yes,yes,yes,no,5,4,5,4,4,3,29,15,5,19
GP,F,15,U,GT3,T,4,1,at_home,other,reputation,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,3,4,3,1,1,3,25,19,6,17
GP,F,17,U,GT3,T,4,2,services,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,5,5,1,1,5,26,14,9,20
GP,F,16,U,GT3,T,1,2,services,services,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,5,3,3,9,8,4,8
GP,M,18,R,LE3,T,4,2,other,other,reputation,mother,1,4,1,no,no,no,yes,yes,yes,yes,no,4,4,2,1,1,5,75,17,8,20
GP,F,17,U,GT3,T,3,3,health,teacher,home,other,1,4,1,no,yes,no,yes,yes,yes,no,no,4,2,4,1,2,5,6,16,15,14
GP,F,16,U,LE3,T,4,1,teacher,other,home,mother,1,4,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,2,5,3,15,15,6,15
GP,F,17,U,GT3,T,4,4,health,other,course,father,1,1,0,no,yes,no,yes,no,yes,yes,no,4,4,4,1,2,3,7,15,0,17
GP,F,15,U,GT3,T,1,2,services,other,reputation,mother,1,2,1,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,5,8,9,0,7
GP,M,19,R,GT3,T,3,3,services,other,course,mother,3,2,0,no,no,yes,no,yes,yes,no,no,5,1,2,2,1,1,7,15,11,14
GP,F,17,R,LE3,T,2,1,teacher,other,reputation,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,2,4,4,1,1,2,49,5,9,12
GP,M,17,U,GT3,A,2,3,services,teacher,course,mother,1,2,1,yes,yes,yes,yes,yes,yes,yes,no,4,5,3,1,5,3,8,11,9,15
GP,F,17,U,GT3,T,3,1,other,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,2,4,3,75,5,4,20
MS,M,15,U,LE3,T,4,2,health,health,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,5,4,1,1,3,2,19,10,16
GP,F,18,U,LE3,T,2,2,teacher,health,home,mother,2,2,1,no,yes,no,yes,yes,yes,yes,yes,4,2,4,1,5,3,4,11,0,15
GP,F,16,R,GT3,T,4,3,at_home,services,home,father,1,1,1,no,no,yes,yes,yes,yes,yes,no,4,2,5,1,1,3,0,19,10,11
MS,F,17,U,GT3,T,1,2,other,other,other,mother,1,4,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,2,2,1,5,13,2,16
MS,M,15,U,GT3,A,4,4,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,3,2,2,1,1,5,1,15,5,14
GP,M,18,U,GT3,T,4,1,at_home,other,reputation,mother,2,2,0,no,yes,no,no,yes,yes,no,no,3,3,4,1,4,3,12,18,3,5
GP,F,19,R,LE3,T,1,3,services,services,other,mother,1,2,0,yes,yes,yes,yes,no,yes,yes,no,4,2,5,1,1,5,75,18,10,4
GP,M,15,U,LE3,T,4,1,services,other,course,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,4,2,2,2,2,3,18,13,5,16
MS,F,16,U,GT3,T,4,1,services,other,course,other,1,2,0,no,no,yes,no,yes,yes,yes,no,5,4,3,1,1,3,8,10,4,12
GP,F,16,R,LE3,T,3,1,teacher,other,reputation,mother,1,3,1,no,yes,no,yes,yes,yes,no,no,5,2,3,1,1,3,26,12,12,20
