school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,F,20,U,GT3,T,0,2,other,at_home,other,father,2,1,3,no,no,no,no,yes,yes,yes,no,1,4,5,2,3,4,11.0,15,12,5
GP,F,17,R,GT3,A,0,4,teacher,services,reputation,father,4,3,0,no,yes,no,yes,yes,yes,no,no,5,4,2,3,2,3,10.0,11,4,20
GP,M,19,U,LE3,T,3,4,health,at_home,other,father,3,3,3,yes,yes,yes,no,no,yes,no,yes,4,4,4,2,4,3,47.0,11,19,10
GP,F,21,U,GT3,A,3,2,services,services,reputation,father,2,4,2,yes,yes,no,yes,no,yes,no,no,5,4,1,2,1,1,27.0,10,11,18
GP,M,22,U,GT3,A,3,0,health,at_home,reputation,father,2,2,2,yes,yes,no,no,no,yes,no,no,1,3,1,2,1,1,28.0,18,4,20
GP,M,15,U,GT3,T,0,4,health,other,course,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,4,3,3,4,5,17.0,11,9,10
GP,M,21,U,LE3,A,3,4,services,services,reputation,other,4,1,0,yes,yes,no,no,no,yes,yes,yes,5,3,5,1,3,3,7.0,5,13,6
MS,F,17,R,GT3,T,2,0,health,other,other,father,3,2,3,no,yes,no,yes,yes,no,yes,no,1,5,2,1,4,3,46.0,7,19,10
MS,F,16,U,LE3,A,4,4,health,at_home,course,father,1,2,1,no,yes,no,no,yes,no,yes,yes,1,5,3,1,2,1,24.0,15,6,12
GP,F,21,R,GT3,A,3,1,services,services,reputation,other,2,4,2,yes,yes,no,no,no,no,no,no,1,3,2,2,1,2,73.0,10,10,20
MS,F,16,U,GT3,A,0,1,other,other,other,father,2,2,1,no,no,no,yes,yes,yes,yes,no,1,4,2,3,3,5,75.0,11,11,17
GP,M,17,U,GT3,T,3,0,other,other,home,father,2,3,2,no,yes,no,no,yes,no,yes,no,5,4,2,1,3,5,73.0,12,8,5
MS,M,18,U,GT3,T,3,4,other,at_home,reputation,father,2,1,0,yes,yes,no,no,no,yes,yes,yes,1,4,2,1,3,3,16.0,10,0,17
MS,F,20,U,GT3,T,4,1,health,at_home,course,father,1,4,2,no,yes,no,no,yes,no,yes,yes,1,5,5,2,2,1,3.0,7,14,12
GP,M,22,U,GT3,A,4,4,other,health,reputation,father,2,2,1,no,yes,yes,yes,yes,yes,yes,no,2,1,2,3,3,5,10.0,10,12,5
MS,M,17,R,GT3,T,0,2,teacher,other,home,father,4,3,1,no,yes,yes,no,yes,yes,yes,yes,3,1,1,1,3,1,23.0,6,13,20
GP,M,20,U,LE3,T,4,3,services,other,reputation,father,4,4,1,no,yes,yes,no,yes,yes,yes,yes,2,1,5,1,3,4,56.0,13,12,0
MS,F,20,U,GT3,T,0,4,other,other,course,father,2,1,2,no,no,no,no,yes,yes,yes,no,1,5,1,2,3,5,4.0,11,12,16
MS,F,20,U,LE3,A,0,1,services,services,course,father,4,4,2,no,no,no,yes,yes,yes,yes,no,5,4,5,3,3,4,74.0,10,5,5
MS,F,15,U,GT3,T,4,4,health,at_home,home,father,1,1,2,no,no,no,no,yes,no,yes,yes,1,5,2,3,3,5,75.0,10,13,10
MS,F,17,U,LE3,T,0,1,health,at_home,reputation,father,3,3,3,no,no,no,no,yes,yes,yes,yes,1,5,3,1,5,3,16.0,12,15,20
MS,M,20,U,GT3,T,0,1,services,services,reputation,father,2,4,3,no,yes,no,no,no,yes,no,yes,1,4,4,2,4,5,48.0,11,13,18
GP,M,21,U,LE3,A,3,4,services,services,reputation,other,2,1,2,yes,yes,no,no,no,yes,no,yes,1,3,2,2,1,3,75.0,10,9,20
GP,M,22,U,GT3,A,3,4,health,at_home,reputation,other,2,2,0,yes,yes,yes,no,no,yes,no,yes,4,4,2,2,1,3,10.0,11,7,18
GP,M,18,U,GT3,T,4,4,teacher,other,course,father,4,4,1,no,no,yes,yes,yes,yes,yes,no,2,1,2,1,3,4,36.0,16,8,0
GP,M,22,U,GT3,T,3,0,health,at_home,reputation,father,2,2,2,yes,yes,yes,no,no,no,no,yes,4,4,1,2,1,1,27.0,12,0,5
GP,M,20,U,GT3,A,2,0,services,other,home,father,4,2,0,no,yes,yes,yes,yes,yes,yes,no,2,1,2,3,3,4,9.0,10,14,0
MS,F,17,U,LE3,T,2,1,health,other,home,father,1,3,3,no,no,no,no,yes,yes,no,no,1,5,2,1,1,5,47.0,11,10,12
GP,F,22,U,GT3,T,3,3,health,health,other,other,3,2,3,yes,yes,yes,no,no,yes,no,no,4,4,5,2,4,4,56.0,11,17,7
GP,M,21,R,GT3,A,3,4,services,at_home,reputation,other,2,1,3,yes,yes,no,no,no,yes,no,no,1,3,3,2,1,3,26.0,11,8,8
GP,F,16,R,GT3,A,2,3,health,at_home,course,father,1,3,0,no,yes,no,no,no,no,yes,yes,3,2,3,1,4,5,17.0,7,13,18
MS,M,19,U,LE3,T,3,0,health,at_home,other,other,3,3,0,yes,yes,yes,no,no,yes,no,yes,5,4,2,2,4,3,7.0,17,4,14
GP,F,18,U,GT3,A,3,2,other,other,home,father,2,4,0,yes,yes,no,no,no,yes,yes,yes,5,3,5,1,1,3,5.0,18,13,18
MS,M,20,R,LE3,A,2,4,health,other,course,father,1,4,0,no,yes,no,yes,yes,yes,yes,yes,5,4,3,3,2,1,11.0,15,10,12
GP,M,20,U,GT3,T,4,4,other,other,reputation,father,2,2,1,no,yes,yes,no,yes,yes,yes,yes,2,1,2,2,1,4,10.0,16,4,14
GP,M,22,U,GT3,T,3,1,health,health,other,other,3,1,0,yes,yes,yes,yes,no,no,no,no,4,4,2,2,4,3,4.0,12,16,7
