school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,F,16,U,LE3,T,2,2,at_home,health,other,father,1,2,0,no,no,yes,yes,yes,no,yes,yes,4,3,4,1,3,5,8,14,16,14
GP,F,18,U,GT3,T,2,2,at_home,other,reputation,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,4,5,1,1,2,1,16,15,13
GP,M,16,U,GT3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,yes,yes,no,yes,yes,no,4,3,2,3,1,3,3,7,5,11
MS,F,18,U,GT3,T,4,3,health,other,course,other,1,4,0,no,no,yes,no,yes,yes,yes,no,2,2,3,2,5,3,22,7,8,9
MS,F,18,U,GT3,A,4,1,other,other,course,other,2,1,0,yes,no,no,no,yes,yes,yes,yes,3,5,3,2,3,5,5,7,5,7
GP,M,19,R,LE3,T,3,1,services,teacher,home,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,5,1,2,2,0,9,2,6
GP,F,17,U,GT3,T,4,1,at_home,health,other,mother,4,3,1,yes,yes,no,yes,yes,yes,yes,yes,4,2,2,1,1,3,0,6,4,7
MS,F,15,U,GT3,T,4,3,health,services,reputation,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,1,3,5,1,1,5,0,8,11,13
GP,F,16,R,GT3,T,4,1,services,teacher,reputation,mother,2,3,0,no,yes,yes,yes,yes,no,yes,no,1,2,2,2,3,1,15,13,16,16
GP,M,17,U,GT3,T,4,4,other,at_home,home,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,5,5,4,18,11,14
GP,F,16,U,LE3,T,2,4,services,other,course,mother,2,1,0,no,no,yes,no,no,yes,yes,no,3,4,4,1,2,3,1,11,8,10
GP,M,17,U,LE3,T,4,1,services,other,course,other,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,1,1,0,10,12,11
GP,M,15,U,LE3,A,3,2,health,at_home,home,mother,3,2,0,no,no,yes,yes,yes,yes,yes,no,4,1,4,1,1,5,23,16,14,16
MS,M,16,U,GT3,T,1,2,services,other,course,mother,1,3,0,no,yes,no,no,no,no,yes,no,5,3,4,2,3,5,30,19,19,20
MS,M,15,U,LE3,T,1,1,health,services,course,mother,1,2,2,yes,no,no,yes,no,no,yes,yes,4,3,2,1,1,3,0,6,4,8
GP,F,15,U,GT3,T,3,1,at_home,health,reputation,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,5,2,4,1,2,2,3,18,15,16
GP,F,15,U,GT3,T,2,2,other,teacher,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,1,8,12,9
GP,M,17,U,GT3,T,3,4,services,other,reputation,mother,1,2,1,no,yes,no,no,yes,yes,yes,yes,3,4,3,1,1,1,0,7,5,10
GP,F,16,U,LE3,T,1,4,services,services,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,4,4,1,1,5,2,7,9,13
GP,F,16,U,LE3,T,2,2,teacher,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,5,3,3,1,1,5,0,8,3,8
GP,M,15,U,LE3,T,2,4,other,health,home,mother,2,1,2,no,no,no,no,yes,yes,yes,yes,4,3,3,1,1,4,0,6,6,6
GP,M,17,U,GT3,T,4,2,services,other,course,mother,1,2,1,no,no,no,no,yes,no,yes,no,3,4,5,3,5,5,2,11,7,11
GP,M,15,U,GT3,T,1,2,teacher,teacher,other,mother,2,2,1,no,yes,yes,no,no,yes,yes,yes,4,3,5,4,5,1,5,8,13,13
GP,F,22,R,LE3,T,2,1,teacher,other,home,father,1,1,0,no,no,no,yes,no,yes,no,yes,3,1,5,2,3,3,2,8,5,9
GP,F,16,U,LE3,T,3,2,at_home,services,course,mother,4,2,0,no,yes,yes,yes,no,yes,no,no,4,4,3,1,2,5,0,15,16,13
GP,F,15,R,GT3,T,4,2,at_home,other,other,mother,1,2,2,no,yes,no,no,no,yes,yes,no,3,3,4,3,1,3,0,8,12,10
MS,F,18,U,GT3,T,2,4,services,services,course,father,1,2,3,no,yes,yes,yes,no,yes,yes,no,3,4,3,2,3,5,12,7,13,14
GP,F,16,U,GT3,A,3,2,other,teacher,home,mother,2,2,1,no,yes,no,yes,yes,yes,yes,no,2,4,4,5,5,4,56,8,15,12
MS,M,16,U,GT3,T,4,3,services,other,other,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,5,1,1,5,29,14,10,12
GP,M,17,U,GT3,T,4,3,teacher,other,home,other,1,2,2,no,no,no,no,yes,yes,yes,no,5,4,3,1,3,1,1,6,3,8
GP,M,17,U,GT3,T,4,4,other,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,1,1,1,5,0,11,12,13
GP,F,17,U,GT3,T,3,2,teacher,services,home,other,2,2,1,no,yes,no,no,yes,yes,no,no,4,4,2,1,1,1,0,13,15,14
GP,F,15,U,GT3,A,2,2,teacher,teacher,home,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,5,1,1,4,21,10,9,8
MS,F,17,U,GT3,T,4,2,services,other,other,mother,1,2,0,no,no,no,yes,no,yes,no,yes,3,2,3,1,3,5,9,11,17,16
GP,F,16,U,GT3,T,3,2,services,other,home,other,3,3,0,yes,yes,yes,yes,yes,yes,yes,yes,5,4,4,1,2,5,6,11,11,11
GP,F,16,U,LE3,T,4,2,at_home,other,other,mother,2,2,0,no,no,yes,no,yes,yes,yes,no,4,3,2,5,2,5,46,17,14,17
GP,M,18,U,GT3,T,1,1,teacher,teacher,home,father,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,3,1,1,5,5,8,12,8,10
GP,F,17,U,LE3,T,2,2,teacher,other,course,other,4,2,1,no,no,no,no,no,no,yes,no,4,5,4,4,5,5,0,7,1,7
GP,M,18,U,LE3,T,2,4,services,other,home,mother,1,3,1,yes,no,no,yes,no,yes,yes,yes,4,4,1,1,4,2,0,7,12,9
