school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,16,U,GT3,T,4,2,other,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,12,9
GP,F,16,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,7,9,9
GP,F,16,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,7,8,8
GP,M,18,U,GT3,T,1,1,at_home,other,course,mother,1,2,3,no,no,no,no,yes,yes,yes,no,4,3,4,1,1,5,1,6,7,9
GP,F,18,U,GT3,T,4,4,other,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,3,5,9,10,11,12
GP,M,16,U,GT3,T,4,4,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,3,13,15,9
GP,M,18,U,GT3,T,2,2,other,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,4,5,1,1,5,0,10,10,11
GP,M,17,U,GT3,T,3,1,other,other,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,8,8,11
GP,F,16,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,14,15,12
GP,F,16,U,GT3,T,2,4,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,1,10,13,9
GP,F,17,U,GT3,T,2,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,4,5,4,13,9,9
GP,M,16,U,GT3,T,4,2,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,17,13,12,13
GP,F,15,U,GT3,T,4,2,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,1,12,7,9
GP,F,16,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,3,2,11,12,14
GP,F,17,U,GT3,T,3,1,other,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,3,5,3,11,7,10
GP,M,18,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,1,5,1,10,12,11
GP,M,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,3,5,2,13,11,12
GP,F,16,U,GT3,T,4,2,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,2,1,1,5,2,12,11,10
GP,F,16,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,2,7,9,11
GP,M,16,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,0,16,15,16
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,4,8,10,9
GP,F,15,U,GT3,T,2,3,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,3,1,9,9,8
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,3,5,19,15,12,13
GP,F,17,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,3,1,1,5,3,10,13,13
GP,M,16,U,GT3,T,2,2,services,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,5,1,4,5,1,10,11,10
GP,F,18,U,GT3,T,2,1,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,3,2,7,6,9
GP,F,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,3,5,5,15,11,11
GP,F,16,U,GT3,T,4,4,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,15,11
GP,F,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,3,5,3,7,9,9
GP,F,17,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,6,9,11
GP,M,16,U,GT3,T,4,2,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,2,1,1,5,4,13,11,12
GP,F,15,U,GT3,T,4,2,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,14,7,11
GP,M,17,U,GT3,T,3,2,other,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,4,5,1,4,5,1,10,8,9
GP,M,16,U,GT3,T,3,4,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,10,16,11
GP,M,16,U,GT3,T,4,4,other,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,13,16,11
GP,M,18,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,1,5,1,8,14,2
GP,F,16,U,GT3,T,4,4,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,2,12,13,10
GP,M,18,U,GT3,T,3,2,other,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,4,5,2,5,5,0,17,13,15
GP,F,17,U,GT3,T,4,2,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,1,11,9,12
GP,M,16,U,GT3,T,4,2,services,other,reputation,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,1,15,18,17
GP,M,16,U,GT3,T,4,4,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,1,15,13,9
GP,F,16,U,GT3,T,4,2,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,15,16,10
GP,F,16,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,1,5,2,16,6,10
GP,M,16,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,3,13,15,16
GP,F,18,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,1,10,9,10
GP,F,15,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,1,13,16,12
GP,F,15,U,GT3,T,4,4,other,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,1,12,9,10
GP,F,16,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,7,9,8
GP,M,16,U,GT3,T,4,2,other,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,3,14,8,11
GP,M,16,U,GT3,T,4,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,1,1,5,1,13,14,9
GP,F,16,U,GT3,T,4,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,1,12,13,14
GP,M,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,5,1,4,5,2,9,8,11
GP,F,16,U,GT3,T,4,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,1,5,3,14,9,10
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,3,1,8,8,9
GP,F,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,3,5,21,8,9,8
GP,M,16,U,GT3,T,4,4,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,2,1,1,5,2,16,13,11
GP,M,16,U,GT3,T,4,2,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,3,11,11,11
GP,F,16,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,6,8,12
GP,F,16,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,4,9,7,10
GP,F,17,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,5,8,8,10
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,3,6,6,8
GP,M,15,U,GT3,T,4,4,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,3,11,12,12
GP,M,15,U,GT3,T,4,4,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,15,13
GP,M,16,U,GT3,T,4,4,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,11,14,10
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,7,7,8,7
GP,M,16,U,GT3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,15,15,19
GP,M,16,U,GT3,T,4,4,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,1,5,3,14,14,10
