gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,Jordan,MiddleSchool,G-02,B,Science,S,Mum,1,76,4,2,Yes,Good,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,A,IT,S,Father,28,94,91,10,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,B,Arabic,F,Father,5,98,81,14,No,Good,Under-7,M
F,Iraq,KuwaIT,MiddleSchool,G-08,A,Biology,S,Father,65,95,58,16,No,Bad,Under-7,M
M,KW,USA,HighSchool,G-07,A,French,S,Father,97,86,97,6,Yes,Good,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-02,B,Spanish,S,Mum,34,86,19,21,No,Bad,Under-7,H
M,Jordan,Iraq,MiddleSchool,G-06,A,French,F,Mum,2,84,91,4,No,Good,Under-7,M
F,KW,USA,lowerlevel,G-08,B,Science,F,Mum,17,0,45,69,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,English,S,Father,62,99,3,44,Yes,Bad,Under-7,H
F,KW,Jordan,lowerlevel,G-07,C,IT,S,Father,20,81,28,41,No,Bad,Above-7,M
F,Jordan,Iraq,MiddleSchool,G-02,A,French,F,Father,1,7,6,11,Yes,Bad,Under-7,M
F,KW,Jordan,MiddleSchool,G-02,A,French,F,Mum,72,64,98,57,No,Bad,Above-7,H
M,KW,KuwaIT,HighSchool,G-11,B,Arabic,F,Mum,4,97,55,4,Yes,Bad,Under-7,H
F,USA,Syria,lowerlevel,G-08,B,Chemistry,F,Father,18,96,72,19,No,Good,Above-7,H
M,Jordan,Jordan,lowerlevel,G-07,A,Biology,F,Mum,9,98,98,53,Yes,Good,Under-7,H
F,Jordan,Jordan,HighSchool,G-07,B,Arabic,S,Mum,3,98,8,61,No,Good,Under-7,M
M,USA,KuwaIT,MiddleSchool,G-08,A,French,F,Mum,2,31,92,87,Yes,Good,Above-7,H
F,KW,KuwaIT,lowerlevel,G-07,B,Arabic,F,Father,19,95,80,33,Yes,Good,Under-7,M
F,Iraq,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,40,64,94,60,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-08,A,IT,S,Father,15,94,97,6,Yes,Good,Above-7,M
F,Palestine,Jordan,MiddleSchool,G-07,B,French,F,Father,10,99,46,17,Yes,Good,Under-7,M
F,Jordan,Jordan,HighSchool,G-11,A,History,S,Father,1,96,10,90,No,Bad,Above-7,M
F,KW,lebanon,lowerlevel,G-02,B,IT,S,Father,63,84,89,30,Yes,Bad,Above-7,H
M,Jordan,Jordan,HighSchool,G-02,B,Arabic,F,Father,40,98,98,30,No,Bad,Under-7,H
M,KW,KuwaIT,lowerlevel,G-08,A,French,S,Mum,25,89,0,9,No,Bad,Above-7,M
M,Jordan,Iraq,MiddleSchool,G-08,B,French,S,Father,0,96,4,3,No,Good,Above-7,M
M,Jordan,Tunis,MiddleSchool,G-02,B,IT,S,Father,37,64,39,7,Yes,Good,Under-7,M
M,Iraq,Iraq,MiddleSchool,G-08,B,Math,F,Father,0,99,59,3,Yes,Good,Under-7,M
F,Jordan,Iraq,MiddleSchool,G-08,A,IT,F,Father,33,95,43,44,Yes,Bad,Under-7,L
M,KW,Jordan,lowerlevel,G-07,A,Science,F,Father,17,98,86,11,Yes,Good,Under-7,H
F,Jordan,KuwaIT,MiddleSchool,G-08,A,English,S,Father,3,34,97,16,Yes,Good,Under-7,L
F,KW,Egypt,lowerlevel,G-07,A,English,S,Father,1,99,54,5,Yes,Good,Under-7,L
F,Jordan,KuwaIT,lowerlevel,G-06,B,Spanish,F,Mum,37,98,77,3,No,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-08,C,Chemistry,S,Mum,0,96,20,74,Yes,Good,Under-7,L
M,SaudiArabia,Jordan,MiddleSchool,G-04,A,IT,S,Mum,5,91,65,19,No,Bad,Above-7,M
F,Syria,Iraq,lowerlevel,G-12,B,English,F,Father,81,98,98,13,Yes,Good,Under-7,M
F,KW,SaudiArabia,lowerlevel,G-04,A,IT,F,Mum,54,95,3,16,Yes,Bad,Above-7,H
M,KW,Jordan,lowerlevel,G-08,A,Geology,F,Father,29,94,95,3,Yes,Good,Above-7,H
F,Jordan,Jordan,MiddleSchool,G-10,A,Geology,F,Mum,2,98,89,3,Yes,Bad,Above-7,L
F,Tunis,Egypt,MiddleSchool,G-02,B,English,F,Father,55,97,98,9,Yes,Good,Under-7,H
F,Jordan,KuwaIT,MiddleSchool,G-04,B,English,S,Mum,46,95,93,63,Yes,Good,Under-7,H
M,KW,Jordan,lowerlevel,G-02,A,Science,S,Father,5,98,96,12,Yes,Bad,Above-7,L
M,KW,Jordan,MiddleSchool,G-10,B,French,F,Father,4,94,78,4,No,Good,Under-7,H
M,Tunis,SaudiArabia,lowerlevel,G-04,B,Quran,S,Father,3,91,65,3,No,Bad,Above-7,M
F,Iraq,Jordan,MiddleSchool,G-04,B,Quran,S,Father,8,86,92,68,No,Good,Above-7,L
M,Jordan,KuwaIT,MiddleSchool,G-08,B,Arabic,F,Father,14,54,45,43,Yes,Good,Under-7,M
F,Iraq,KuwaIT,lowerlevel,G-04,A,IT,S,Father,61,97,42,59,No,Good,Under-7,M
M,Palestine,Iraq,MiddleSchool,G-02,C,Arabic,F,Father,7,99,89,4,Yes,Good,Above-7,H
M,KW,Jordan,MiddleSchool,G-07,B,Biology,S,Mum,6,71,85,26,Yes,Bad,Above-7,M
M,Iraq,Iraq,MiddleSchool,G-08,A,Biology,S,Father,41,98,31,47,No,Bad,Above-7,M
F,KW,KuwaIT,lowerlevel,G-02,B,Science,S,Father,3,84,88,13,No,Good,Above-7,H
F,Jordan,Morocco,MiddleSchool,G-07,A,IT,S,Father,0,98,96,20,No,Good,Above-7,M
F,Jordan,KuwaIT,MiddleSchool,G-08,C,English,S,Father,48,7,69,3,Yes,Good,Above-7,L
M,Jordan,Tunis,MiddleSchool,G-02,A,English,F,Father,48,78,4,6,Yes,Good,Under-7,L
F,KW,KuwaIT,MiddleSchool,G-11,A,IT,F,Mum,0,44,96,18,No,Bad,Under-7,M
M,KW,lebanon,MiddleSchool,G-02,A,IT,S,Father,1,98,76,23,Yes,Bad,Above-7,L
F,KW,KuwaIT,MiddleSchool,G-08,A,French,S,Mum,0,99,97,91,Yes,Good,Under-7,H
F,SaudiArabia,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,3,81,79,45,No,Good,Above-7,L
M,Iraq,KuwaIT,lowerlevel,G-02,C,Science,S,Father,17,9,95,28,No,Bad,Under-7,M
M,Jordan,Iraq,lowerlevel,G-07,A,Spanish,F,Mum,8,97,97,35,Yes,Bad,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-08,A,Quran,F,Father,2,98,42,16,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-08,A,IT,F,Father,4,0,95,31,Yes,Good,Above-7,L
F,KW,KuwaIT,MiddleSchool,G-02,A,Spanish,S,Mum,18,94,76,4,Yes,Good,Under-7,H
M,KW,Jordan,MiddleSchool,G-06,A,IT,S,Father,9,97,89,15,Yes,Bad,Under-7,H
M,Jordan,Jordan,HighSchool,G-02,B,Science,F,Mum,4,91,84,51,Yes,Bad,Under-7,H
M,KW,KuwaIT,lowerlevel,G-08,A,Arabic,F,Father,6,53,96,6,No,Good,Above-7,M
M,KW,lebanon,lowerlevel,G-02,A,Spanish,S,Mum,79,98,48,29,No,Bad,Above-7,H
F,KW,USA,MiddleSchool,G-07,B,French,F,Mum,2,94,93,72,Yes,Bad,Under-7,H
M,KW,Jordan,MiddleSchool,G-07,B,IT,F,Father,98,98,98,3,Yes,Bad,Under-7,H
M,lebanon,Jordan,lowerlevel,G-08,A,Arabic,S,Father,65,74,83,19,No,Bad,Above-7,H
M,KW,KuwaIT,MiddleSchool,G-07,B,Biology,S,Father,71,82,90,3,No,Good,Under-7,H
F,Egypt,KuwaIT,HighSchool,G-12,A,IT,S,Father,3,80,98,2,No,Good,Above-7,H
F,KW,Jordan,lowerlevel,G-08,A,IT,F,Father,15,94,92,3,Yes,Bad,Under-7,L
M,Jordan,Jordan,MiddleSchool,G-02,A,Arabic,F,Father,37,36,72,21,No,Good,Above-7,M
F,Tunis,Jordan,MiddleSchool,G-02,C,Geology,S,Mum,1,58,89,5,Yes,Bad,Under-7,M
F,Jordan,lebanon,MiddleSchool,G-07,A,Arabic,S,Mum,2,82,61,4,No,Good,Under-7,H
F,USA,Iraq,MiddleSchool,G-04,A,Quran,S,Mum,0,97,84,38,Yes,Good,Above-7,H
F,KW,Jordan,MiddleSchool,G-07,A,English,S,Father,13,18,76,6,No,Bad,Under-7,M
F,KW,Tunis,MiddleSchool,G-02,B,French,S,Father,39,99,20,12,Yes,Good,Under-7,M
F,Jordan,USA,MiddleSchool,G-02,A,Arabic,F,Father,1,74,78,9,Yes,Bad,Above-7,H
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,80,87,95,73,Yes,Good,Under-7,L
F,Jordan,KuwaIT,MiddleSchool,G-02,B,English,F,Father,1,99,67,3,Yes,Good,Above-7,L
M,KW,venzuela,MiddleSchool,G-08,A,Quran,F,Mum,82,98,97,4,Yes,Bad,Above-7,L
M,Jordan,Tunis,MiddleSchool,G-09,B,Arabic,S,Mum,38,97,38,5,Yes,Good,Under-7,M
F,Jordan,lebanon,lowerlevel,G-02,A,IT,S,Mum,34,95,88,44,Yes,Good,Above-7,L
F,Jordan,Jordan,lowerlevel,G-04,B,French,S,Father,1,67,8,95,Yes,Bad,Under-7,L
M,KW,Jordan,lowerlevel,G-07,B,Chemistry,S,Father,45,98,63,2,No,Bad,Under-7,H
M,Jordan,USA,HighSchool,G-02,A,Biology,F,Father,4,89,35,36,No,Good,Under-7,M
F,Jordan,Iraq,MiddleSchool,G-02,B,Spanish,S,Father,8,0,67,4,No,Bad,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Science,F,Mum,41,56,68,4,No,Bad,Under-7,L
M,Jordan,KuwaIT,lowerlevel,G-08,B,History,F,Father,4,83,0,4,No,Good,Above-7,H
F,KW,Egypt,MiddleSchool,G-07,B,IT,F,Mum,2,72,86,5,Yes,Good,Above-7,M
F,KW,Iraq,MiddleSchool,G-08,A,IT,F,Mum,22,96,96,15,Yes,Bad,Above-7,H
M,Jordan,KuwaIT,HighSchool,G-02,B,Spanish,S,Father,15,99,96,2,Yes,Bad,Under-7,M
M,Iraq,Jordan,lowerlevel,G-04,A,History,F,Mum,35,41,97,72,Yes,Good,Under-7,L
M,Jordan,Palestine,lowerlevel,G-07,B,History,F,Father,60,95,71,92,No,Good,Above-7,M
M,KW,Morocco,lowerlevel,G-02,B,Science,S,Father,6,91,27,2,No,Bad,Under-7,H
M,KW,Jordan,lowerlevel,G-02,B,Spanish,S,Father,35,99,13,8,Yes,Good,Above-7,H
F,lebanon,Jordan,MiddleSchool,G-08,B,IT,S,Father,59,75,75,46,No,Bad,Under-7,L
M,Egypt,KuwaIT,MiddleSchool,G-02,B,History,F,Mum,6,71,90,19,Yes,Good,Above-7,H
M,Jordan,KuwaIT,lowerlevel,G-02,B,Arabic,S,Mum,8,98,16,2,Yes,Bad,Under-7,H
F,Palestine,KuwaIT,MiddleSchool,G-07,A,Biology,F,Father,24,54,98,9,Yes,Bad,Under-7,H
M,KW,Palestine,lowerlevel,G-08,B,History,F,Father,33,0,65,4,Yes,Good,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,History,F,Mum,8,92,97,15,No,Good,Under-7,L
M,KW,Iraq,HighSchool,G-08,B,French,S,Mum,5,98,86,12,Yes,Good,Above-7,H
F,KW,Jordan,lowerlevel,G-08,A,French,S,Mum,90,38,70,47,Yes,Good,Under-7,L
F,Iraq,KuwaIT,MiddleSchool,G-08,B,English,F,Father,1,8,0,14,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-06,A,IT,F,Father,62,91,96,3,No,Bad,Under-7,M
M,lebanon,KuwaIT,MiddleSchool,G-07,B,Arabic,F,Father,1,97,77,3,Yes,Good,Under-7,L
M,Palestine,KuwaIT,MiddleSchool,G-08,C,Science,F,Father,7,83,52,46,Yes,Good,Under-7,L
F,Iraq,KuwaIT,lowerlevel,G-08,B,English,S,Mum,87,46,22,22,Yes,Good,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-08,B,Chemistry,S,Father,19,99,81,66,No,Bad,Under-7,H
M,lebanon,Jordan,lowerlevel,G-02,A,Math,S,Mum,81,68,57,17,Yes,Good,Under-7,L
M,KW,USA,lowerlevel,G-02,B,Arabic,F,Father,5,76,94,3,Yes,Bad,Under-7,H
M,Iran,Jordan,MiddleSchool,G-07,A,IT,F,Mum,98,98,97,2,No,Good,Under-7,L
M,KW,KuwaIT,lowerlevel,G-07,B,Science,F,Father,2,99,66,3,Yes,Bad,Under-7,H
M,KW,lebanon,lowerlevel,G-06,B,Science,F,Father,5,99,64,3,Yes,Bad,Under-7,H
F,lebanon,Jordan,MiddleSchool,G-08,A,French,F,Mum,2,43,47,31,No,Bad,Above-7,M
M,Jordan,Iraq,MiddleSchool,G-02,A,Science,S,Father,7,89,64,6,No,Good,Above-7,M
M,Jordan,KuwaIT,lowerlevel,G-12,B,Spanish,F,Father,3,82,83,82,Yes,Good,Under-7,M
M,Jordan,Morocco,lowerlevel,G-07,A,Geology,S,Mum,0,98,87,18,Yes,Bad,Under-7,M
M,KW,Morocco,lowerlevel,G-11,A,Arabic,S,Father,0,89,89,4,No,Good,Under-7,L
F,Jordan,Iran,MiddleSchool,G-06,A,History,F,Father,23,60,84,34,No,Good,Under-7,M
M,Jordan,lebanon,lowerlevel,G-02,A,History,S,Father,10,68,80,84,Yes,Good,Above-7,H
M,Jordan,KuwaIT,MiddleSchool,G-02,A,Arabic,F,Father,58,98,0,3,No,Bad,Under-7,M
F,Egypt,SaudiArabia,HighSchool,G-02,B,Math,S,Mum,43,69,75,4,Yes,Good,Under-7,M
F,Jordan,Egypt,lowerlevel,G-08,A,IT,F,Father,14,88,60,32,Yes,Good,Under-7,M
M,Jordan,KuwaIT,MiddleSchool,G-12,B,Spanish,S,Father,7,83,98,11,Yes,Bad,Above-7,H
M,KW,USA,lowerlevel,G-02,A,IT,S,Father,3,65,6,64,No,Good,Under-7,H
