gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,Jordan,lowerlevel,G-02,B,Chemistry,F,Mum,93,13,60,72,Yes,Bad,Under-7,H
F,Jordan,KuwaIT,MiddleSchool,G-04,A,French,S,Mum,50,20,47,64,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,B,Arabic,F,Mum,89,71,65,21,No,Good,Above-7,H
F,Iraq,KuwaIT,MiddleSchool,G-07,A,Biology,F,Father,0,47,0,34,No,Good,Above-7,H
F,KW,USA,HighSchool,G-07,B,French,S,Father,32,42,15,72,Yes,Good,Under-7,H
F,Palestine,KuwaIT,MiddleSchool,G-02,B,Spanish,S,Mum,12,21,8,32,Yes,Good,Under-7,H
M,Jordan,KuwaIT,lowerlevel,G-06,A,French,S,Mum,99,39,98,44,Yes,Good,Under-7,M
F,KW,USA,MiddleSchool,G-07,B,French,F,Mum,9,2,11,39,Yes,Bad,Above-7,H
M,Iraq,Jordan,lowerlevel,G-02,A,English,S,Father,54,66,18,10,No,Good,Under-7,H
F,KW,Jordan,lowerlevel,G-07,C,Arabic,S,Mum,0,84,28,41,Yes,Good,Under-7,M
F,Jordan,KuwaIT,MiddleSchool,G-02,A,French,F,Father,61,36,43,68,Yes,Good,Under-7,M
F,Lybia,Jordan,lowerlevel,G-02,A,Spanish,F,Father,33,7,53,78,Yes,Bad,Above-7,H
F,KW,KuwaIT,HighSchool,G-11,B,Arabic,F,Mum,52,67,59,98,Yes,Good,Under-7,M
F,USA,Syria,lowerlevel,G-08,B,Chemistry,F,Father,100,76,55,74,No,Bad,Under-7,M
F,Egypt,Jordan,lowerlevel,G-07,A,Biology,F,Father,28,20,15,67,Yes,Bad,Above-7,M
F,Jordan,KuwaIT,HighSchool,G-07,B,History,S,Mum,18,12,40,85,Yes,Bad,Above-7,H
M,USA,KuwaIT,MiddleSchool,G-07,A,French,F,Father,37,46,17,94,Yes,Good,Under-7,M
F,KW,KuwaIT,lowerlevel,G-07,B,Arabic,F,Father,7,62,45,34,Yes,Good,Under-7,M
F,Palestine,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,77,11,80,96,No,Good,Under-7,H
M,Jordan,KuwaIT,lowerlevel,G-08,A,IT,S,Father,60,24,50,68,No,Bad,Above-7,M
F,Palestine,KuwaIT,MiddleSchool,G-08,B,French,F,Father,82,0,11,33,No,Bad,Under-7,M
F,Jordan,Jordan,HighSchool,G-11,B,History,S,Mum,100,58,64,98,Yes,Bad,Under-7,H
F,KW,lebanon,lowerlevel,G-02,A,Arabic,F,Father,80,0,21,52,Yes,Bad,Above-7,M
