"gender","NationalITy","PlaceofBirth","StageID","GradeID","SectionID","Topic","Semester","Relation","raisedhands","VisITedResources","AnnouncementsView","Discussion","ParentAnsweringSurvey","ParentschoolSatisfaction","StudentAbsenceDays","Class"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",80,92,2,13,"Yes","Good","Under-7","H"
"F","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Mum",70,92,62,77,"Yes","Good","Under-7","H"
"F","Jordan","lebanon","lowerlevel","G-02","B","French","S","Mum",70,65,33,37,"Yes","Good","Under-7","H"
"F","Syria","Syria","MiddleSchool","G-07","A","Biology","F","Mum",86,92,79,76,"Yes","Good","Under-7","H"
"M","Jordan","Jordan","MiddleSchool","G-06","A","IT","F","Father",39,97,30,80,"Yes","Bad","Under-7","H"
"M","Iraq","Iraq","lowerlevel","G-02","B","Arabic","S","Mum",89,90,49,19,"Yes","Good","Under-7","M"
"M","Syria","Syria","MiddleSchool","G-07","A","Biology","S","Father",10,14,2,13,"No","Bad","Above-7","L"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Chemistry","F","Mum",80,82,74,43,"Yes","Good","Above-7","M"
"M","Jordan","Jordan","MiddleSchool","G-06","A","English","S","Father",40,88,83,84,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",70,92,41,13,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","lowerlevel","G-02","A","French","F","Mum",35,17,28,24,"No","Good","Above-7","L"
"M","Jordan","Jordan","MiddleSchool","G-07","A","Biology","S","Father",80,88,58,70,"Yes","Good","Under-7","M"
"M","Egypt","Egypt","lowerlevel","G-04","A","English","S","Father",20,8,38,20,"No","Good","Above-7","L"
"M","Jordan","Jordan","lowerlevel","G-02","B","French","S","Mum",60,95,42,23,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father",29,20,12,13,"No","Bad","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Geology","S","Mum",80,82,75,53,"Yes","Good","Above-7","M"
"F","Jordan","Jordan","lowerlevel","G-02","B","French","F","Father",85,86,12,22,"No","Good","Under-7","M"
"F","KW","KuwaIT","HighSchool","G-12","A","English","F","Father",12,13,18,90,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",7,3,0,8,"Yes","Good","Above-7","L"
"M","Jordan","Jordan","lowerlevel","G-02","B","French","F","Mum",40,88,32,21,"Yes","Good","Under-7","M"
"M","Jordan","SaudiArabia","lowerlevel","G-04","B","Science","F","Mum",72,80,82,90,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Spanish","S","Father",0,9,11,14,"No","Bad","Above-7","L"
"F","Palestine","Jordan","lowerlevel","G-02","A","French","F","Mum",75,90,40,24,"Yes","Good","Under-7","M"
"M","KW","USA","MiddleSchool","G-07","B","French","S","Mum",69,82,30,10,"Yes","Good","Under-7","M"
"M","venzuela","KuwaIT","lowerlevel","G-04","A","IT","F","Mum",90,88,62,63,"No","Good","Under-7","H"
"F","Jordan","Jordan","MiddleSchool","G-07","A","Biology","S","Father",80,89,23,41,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","HighSchool","G-10","A","IT","F","Father",19,62,42,80,"Yes","Good","Under-7","H"
"M","Tunis","Tunis","MiddleSchool","G-07","B","Science","S","Father",22,87,51,22,"No","Good","Above-7","L"
"M","Palestine","Jordan","MiddleSchool","G-07","B","Biology","S","Father",80,80,83,83,"No","Bad","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-07","A","Biology","S","Father",85,90,50,30,"Yes","Good","Under-7","H"
"F","Palestine","Jordan","lowerlevel","G-02","A","French","S","Mum",72,87,12,24,"No","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",11,4,5,50,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","lowerlevel","G-02","B","Arabic","F","Father",10,12,22,10,"No","Bad","Above-7","L"
"F","Syria","Syria","MiddleSchool","G-07","A","Science","S","Father",12,12,13,46,"No","Good","Above-7","M"
"F","KW","KuwaIT","HighSchool","G-12","A","Science","S","Father",42,12,13,75,"No","Bad","Above-7","L"
"M","Jordan","SaudiArabia","lowerlevel","G-04","A","Science","S","Father",80,80,86,89,"Yes","Bad","Under-7","M"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",2,19,1,50,"Yes","Good","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Spanish","F","Mum",87,65,30,70,"Yes","Good","Under-7","H"
"M","Palestine","Jordan","lowerlevel","G-02","A","French","S","Mum",69,89,51,27,"Yes","Good","Under-7","M"
"F","KW","KuwaIT","MiddleSchool","G-08","A","Arabic","S","Father",29,60,40,51,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father",12,6,0,41,"No","Bad","Above-7","L"
"M","Palestine","Jordan","MiddleSchool","G-06","A","Science","S","Father",17,20,23,20,"No","Good","Above-7","L"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Mum",21,74,19,50,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","MiddleSchool","G-08","B","Arabic","S","Mum",75,71,83,68,"Yes","Bad","Under-7","H"
"M","Jordan","Jordan","lowerlevel","G-02","B","Arabic","S","Father",10,10,37,12,"No","Bad","Above-7","L"
"F","Jordan","Jordan","lowerlevel","G-02","B","French","F","Mum",14,87,40,30,"Yes","Good","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",80,70,2,15,"No","Bad","Under-7","H"
"M","Jordan","Jordan","lowerlevel","G-02","A","Arabic","F","Father",12,9,22,85,"No","Bad","Under-7","L"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Arabic","S","Father",15,60,32,33,"No","Bad","Under-7","L"
"M","Tunis","Tunis","MiddleSchool","G-08","A","Arabic","S","Mum",90,84,62,80,"Yes","Good","Under-7","H"
"M","Palestine","Jordan","MiddleSchool","G-07","B","Biology","F","Father",71,89,76,80,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",12,50,4,68,"No","Bad","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",55,70,9,68,"Yes","Good","Under-7","H"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Chemistry","S","Mum",81,92,52,34,"Yes","Good","Above-7","M"
"M","Jordan","Jordan","lowerlevel","G-02","B","French","F","Father",25,82,21,30,"Yes","Good","Under-7","M"
"F","Jordan","Jordan","lowerlevel","G-02","A","Arabic","F","Father",10,97,50,91,"Yes","Good","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",7,4,11,40,"Yes","Good","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Spanish","S","Mum",72,83,40,90,"No","Bad","Under-7","H"
"F","Jordan","Jordan","lowerlevel","G-02","B","French","F","Mum",25,97,21,14,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",80,90,55,5,"Yes","Bad","Under-7","H"
"F","Egypt","Egypt","lowerlevel","G-02","B","French","S","Mum",7,15,12,10,"No","Good","Under-7","L"
"M","Jordan","SaudiArabia","MiddleSchool","G-08","A","Geology","F","Father",72,77,44,70,"Yes","Good","Under-7","M"
"F","Jordan","Jordan","MiddleSchool","G-08","A","Chemistry","F","Father",9,17,19,62,"No","Bad","Above-7","L"
"F","USA","USA","lowerlevel","G-02","B","French","S","Mum",75,65,3,20,"No","Good","Under-7","H"
"F","Jordan","Jordan","MiddleSchool","G-08","A","Geology","F","Mum",80,81,79,58,"Yes","Good","Under-7","H"
"M","Palestine","Jordan","lowerlevel","G-02","B","Arabic","S","Mum",70,88,62,15,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Mum",12,35,11,17,"Yes","Bad","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",3,6,11,49,"Yes","Good","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-05","A","English","F","Father",50,64,53,72,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",7,12,11,40,"Yes","Good","Under-7","L"
"M","Egypt","Egypt","lowerlevel","G-02","C","French","S","Mum",20,80,40,10,"Yes","Good","Under-7","H"
"M","Jordan","Jordan","lowerlevel","G-02","A","French","F","Mum",30,21,29,29,"No","Bad","Above-7","L"
"M","Jordan","Jordan","lowerlevel","G-02","A","Arabic","F","Father",10,21,71,53,"Yes","Bad","Above-7","L"
