gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,71,92,39,69,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,22,17,19,14,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-04,A,Science,S,Mum,69,78,72,73,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,80,71,72,78,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,64,84,54,81,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Arabic,S,Father,22,69,20,11,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Arabic,S,Father,12,11,8,25,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,79,79,12,43,No,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,84,83,85,79,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,84,73,86,33,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,49,98,42,12,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,99,85,68,91,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Father,8,81,6,17,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,71,86,10,28,No,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,82,95,7,7,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Father,17,27,12,14,No,Bad,Above-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,11,27,17,33,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,Arabic,S,Father,6,12,20,23,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,86,84,74,96,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,70,84,76,44,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,80,83,23,13,No,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,77,84,30,19,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,70,71,46,76,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,80,87,23,24,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,0,16,17,18,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-08,A,English,F,Father,15,75,4,35,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,59,98,84,16,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,52,50,39,87,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,46,80,17,25,No,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,7,1,7,20,No,Good,Above-7,L
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,52,70,19,60,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,55,99,26,28,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,71,99,37,16,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Arabic,F,Father,10,90,20,15,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,0,12,18,10,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-08,A,English,S,Father,25,86,26,53,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Arabic,S,Mum,85,77,47,69,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,French,F,Father,11,99,7,16,No,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Mum,64,97,12,24,No,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Father,7,20,24,23,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,78,94,48,17,Yes,Good,Under-7,H
