"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","associate's degree","free/reduced","none",47,54,51
"male","group C","some college","standard","none",63,64,60
"male","group C","high school","standard","none",52,44,48
"male","group B","some high school","standard","completed",79,82,80
"female","group C","associate's degree","free/reduced","none",53,64,69
"male","group C","some college","free/reduced","none",61,61,61
"male","group D","high school","standard","completed",72,67,63
"female","group C","some college","standard","none",62,73,76
"male","group E","bachelor's degree","standard","completed",70,67,66
"male","group C","high school","standard","none",70,66,61
"male","group B","high school","standard","none",57,58,55
"male","group B","some high school","standard","completed",79,84,75
"female","group D","master's degree","standard","completed",56,78,84
"male","group C","some college","standard","none",66,77,76
"male","group B","some college","standard","none",79,78,77
"male","group E","bachelor's degree","standard","none",83,62,60
"male","group C","some college","free/reduced","none",68,66,66
"female","group C","associate's degree","standard","completed",68,84,86
"female","group B","high school","free/reduced","completed",63,78,76
"female","group A","high school","standard","none",65,71,71
"female","group E","some high school","free/reduced","completed",57,58,64
"male","group A","some high school","standard","none",69,70,65
"female","group D","high school","standard","none",69,71,67
"female","group B","high school","free/reduced","none",8,34,40
"male","group E","associate's degree","standard","completed",82,85,82
"female","group B","some college","standard","completed",69,90,90
"male","group D","associate's degree","standard","none",80,76,77
"female","group E","some college","standard","completed",71,71,76
"female","group B","some high school","standard","none",82,85,86
"female","group D","associate's degree","standard","none",59,58,63
"male","group B","bachelor's degree","free/reduced","none",63,66,64
"male","group C","associate's degree","free/reduced","none",68,77,76
"female","group C","associate's degree","standard","none",85,92,91
"male","group E","associate's degree","standard","completed",79,82,90
"male","group A","some college","free/reduced","none",69,74,70
"male","group B","some college","free/reduced","none",62,48,46
"female","group D","some high school","standard","none",76,86,87
"male","group C","high school","free/reduced","completed",62,71,74
"male","group C","associate's degree","standard","none",49,42,44
"female","group C","some high school","free/reduced","none",65,86,86
"male","group D","master's degree","standard","none",82,78,73
"female","group B","bachelor's degree","free/reduced","none",63,58,63
"female","group E","some college","standard","completed",66,65,74
"female","group C","some college","standard","none",54,64,67
"female","group C","some college","standard","none",83,82,90
"female","group C","some high school","free/reduced","none",47,58,56
"female","group D","some college","standard","none",51,60,56
"male","group B","some college","standard","none",66,56,54
"male","group B","some college","standard","none",58,49,47
"male","group A","some college","standard","none",53,52,43
"female","group A","some high school","free/reduced","none",18,39,38
"male","group D","some high school","standard","none",86,78,78
"male","group E","associate's degree","free/reduced","completed",91,90,86
"male","group B","some college","free/reduced","none",55,61,61
"female","group E","some college","free/reduced","none",77,85,82
"female","group E","high school","standard","none",80,86,89
"female","group C","master's degree","standard","completed",44,54,63
"male","group D","high school","standard","completed",60,53,54
"male","group C","high school","standard","none",62,67,59
"female","group E","associate's degree","free/reduced","completed",76,90,94
"female","group C","some high school","free/reduced","none",24,31,38
"female","group E","some college","standard","none",100,100,95
"male","group E","some college","standard","none",97,93,87
"male","group B","some high school","standard","completed",63,67,67
"male","group A","some college","standard","completed",61,67,72
"female","group A","some high school","free/reduced","none",59,72,71
"male","group D","associate's degree","standard","none",40,54,51
"male","group D","associate's degree","free/reduced","none",75,68,75
"female","group C","associate's degree","standard","completed",60,72,78
"male","group D","bachelor's degree","free/reduced","none",68,68,61
"female","group A","bachelor's degree","free/reduced","none",61,58,58
"female","group E","bachelor's degree","standard","completed",81,93,92
"male","group A","some high school","free/reduced","none",56,61,58
"female","group B","some high school","standard","none",57,67,64
"female","group A","associate's degree","standard","completed",67,86,81
"male","group C","high school","standard","none",71,60,61
"male","group D","high school","free/reduced","none",63,61,62
"female","group E","associate's degree","free/reduced","completed",46,49,44
"female","group E","associate's degree","standard","none",66,65,65
"male","group D","bachelor's degree","free/reduced","none",50,52,51
"female","group E","some college","free/reduced","none",64,64,67
"female","group D","master's degree","standard","none",77,84,80
"female","group E","high school","standard","none",50,49,54
"male","group B","associate's degree","free/reduced","none",52,60,58
"female","group C","some high school","standard","completed",59,71,65
"male","group D","high school","free/reduced","none",63,55,52
"male","group E","bachelor's degree","free/reduced","completed",68,74,71
"male","group E","bachelor's degree","standard","none",86,75,69
"male","group C","high school","free/reduced","none",62,58,49
"female","group D","some high school","standard","none",68,78,79
"male","group D","some college","free/reduced","none",54,54,52
"male","group D","master's degree","standard","none",82,78,75
"female","group D","high school","standard","none",69,75,76
"male","group B","some college","free/reduced","none",62,55,52
"male","group C","high school","free/reduced","none",63,60,50
"female","group D","some high school","standard","none",73,72,78
"female","group B","some high school","standard","none",66,76,70
"male","group C","some college","standard","none",76,72,76
"female","group C","associate's degree","standard","none",63,71,67
"male","group D","some high school","standard","none",81,82,73
"male","group B","bachelor's degree","free/reduced","none",50,48,45
"male","group C","high school","standard","completed",53,49,60
"male","group C","high school","standard","none",71,66,55
"female","group C","high school","free/reduced","none",42,58,66
"male","group E","some college","free/reduced","none",62,50,46
"female","group D","associate's degree","standard","none",59,70,72
"female","group B","master's degree","standard","none",87,93,93
"female","group B","some high school","standard","completed",77,75,79
"female","group B","some high school","standard","completed",69,83,73
"female","group D","bachelor's degree","free/reduced","completed",57,73,78
"male","group D","associate's degree","standard","completed",65,69,64
"female","group E","high school","standard","none",74,81,79
"male","group D","some high school","free/reduced","none",79,67,61
"female","group D","some college","standard","none",63,70,73
"female","group C","associate's degree","standard","none",91,90,91
"male","group C","master's degree","standard","none",80,84,87
"female","group C","some high school","standard","none",74,75,75
"female","group C","bachelor's degree","standard","none",83,92,87
"female","group A","high school","free/reduced","none",8,44,38
"female","group E","some college","standard","completed",85,92,94
"female","group C","some college","free/reduced","completed",64,73,76
"female","group C","some high school","standard","none",77,79,76
"female","group C","high school","standard","completed",60,85,81
"male","group C","high school","free/reduced","completed",53,37,36
"male","group B","bachelor's degree","free/reduced","none",68,68,70
"female","group C","high school","standard","completed",68,76,76
"male","group C","bachelor's degree","standard","completed",78,82,90
"male","group E","some college","standard","none",59,59,54
"male","group C","some college","standard","none",61,60,61
"female","group B","associate's degree","free/reduced","none",47,49,46
"female","group B","associate's degree","standard","completed",90,95,93
"male","group A","bachelor's degree","standard","none",50,45,43
"female","group C","bachelor's degree","standard","completed",52,58,66
"female","group B","some college","standard","completed",69,90,88
"female","group B","high school","free/reduced","none",64,64,62
"male","group C","high school","standard","none",62,55,51
"female","group E","high school","free/reduced","none",57,73,65
"male","group A","associate's degree","standard","completed",78,82,90
"female","group B","some high school","standard","none",67,75,75
"female","group A","some high school","free/reduced","none",44,52,54
"male","group D","some college","free/reduced","completed",67,60,62
"female","group C","associate's degree","standard","completed",75,75,83
"male","group B","some high school","standard","completed",61,56,54
"male","group D","master's degree","free/reduced","none",44,42,46
"male","group B","associate's degree","standard","completed",65,68,70
"female","group D","bachelor's degree","standard","none",78,82,82
"male","group C","bachelor's degree","free/reduced","none",37,45,43
"male","group C","high school","free/reduced","none",61,63,62
"male","group C","some college","standard","completed",91,85,91
"female","group E","some high school","free/reduced","none",64,73,67
"female","group D","some high school","standard","completed",56,63,64
