Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
0.0,27.0,5.0,4.0,4.0,1.0,3.0,3.0,5.0,5.0,0.0,1.0,13.49827731,20.0,7.34,0.479946145,7.0,3.0,76.09387035,0.0
0.0,21.0,5.0,4.0,3.0,2.0,2.0,4.0,0.0,2.0,1.0,0.0,25.504042892,56.0,16.04,0.779952588,11.0,1.0,89.90955568,0.0
0.0,19.0,2.0,2.0,4.0,3.0,5.0,5.0,4.0,0.0,0.0,1.0,102.18825471,29.0,4.78,0.603815705,8.0,4.0,84.86484994,0.0
0.0,22.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,0.0,0.0,4.158855173,64.0,52.0,2.779406462,10.0,4.0,80.21468885,0.0
0.0,25.0,4.0,1.0,1.0,5.0,3.0,3.0,5.0,5.0,0.0,1.0,25.953008488,21.0,8.65,0.550752766,7.0,12.0,65.83922975,0.0
1.0,20.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,3.962355949,145.0,53.92,2.629396339,11.0,2.0,94.46287904,0.0
1.0,25.0,2.0,2.0,1.0,2.0,1.0,4.0,0.0,5.0,0.0,1.0,90.997521075,39.0,19.04,0.803717558,7.0,12.0,56.63147054,0.0
0.0,19.0,2.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,0.0,1.0,27.802007896,23.0,3.72,0.365726758,5.0,12.0,67.04138756,0.0
0.0,20.0,2.0,5.0,3.0,2.0,4.0,3.0,1.0,5.0,0.0,1.0,30.424647918,12.0,3.24,0.468625085,3.0,11.0,48.93225095,0.0
0.0,20.0,4.0,1.0,4.0,5.0,3.0,3.0,3.0,5.0,0.0,1.0,112.815152035,3.0,0.03,0.258300788,3.0,12.0,56.22835931,0.0
0.0,24.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,0.0,0.0,6.825323456,3.0,0.45,0.048564884,4.0,12.0,23.16261016,0.0
0.0,29.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,1.0,53.911326477,47.0,12.18,1.441363013,9.0,1.0,95.23081089,0.0
0.0,23.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,0.0,1.0,22.818768779,72.0,40.34,1.557071954,10.0,7.0,70.42141618,0.0
0.0,19.0,5.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,89.620777306,14.0,2.51,0.451180272,11.0,2.0,91.46552338,0.0
0.0,21.0,5.0,3.0,1.0,2.0,5.0,5.0,0.0,3.0,1.0,1.0,137.531195981,66.0,15.15,1.651626866,11.0,1.0,95.05018121,0.0
0.0,21.0,5.0,4.0,2.0,2.0,3.0,4.0,1.0,5.0,0.0,0.0,19.47031777,27.0,13.56,1.021335493,4.0,10.0,67.93414399,0.0
0.0,19.0,5.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,0.0,1.0,4.942008066,104.0,46.83,1.319289228,10.0,3.0,93.40017678,0.0
0.0,20.0,5.0,1.0,3.0,4.0,1.0,1.0,4.0,5.0,0.0,1.0,54.107433023,46.0,6.32,0.459209957,7.0,8.0,79.94493075,0.0
0.0,20.0,1.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,0.0,1.0,38.181126975,104.0,21.39,0.990063121,12.0,1.0,99.39063742,0.0
0.0,20.0,1.0,2.0,1.0,0.0,4.0,4.0,4.0,4.0,0.0,1.0,23.192774713,58.0,27.38,2.207063278,12.0,1.0,96.68281071,0.0
0.0,22.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,10.725063159,68.0,20.58,1.515250853,11.0,2.0,92.56157786,0.0
0.0,19.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,16.055727105,13.0,8.73,0.891403831,11.0,1.0,89.69167673,0.0
0.0,19.0,4.0,3.0,2.0,4.0,1.0,5.0,0.0,2.0,0.0,1.0,119.92102856,125.0,43.73,3.218078272,13.0,1.0,94.16458642,0.0
0.0,19.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,21.683699864,174.0,57.54,1.99694629,13.0,1.0,99.74492345,0.0
0.0,19.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,0.0,1.0,14.327399783,66.0,42.18,2.874625086,9.0,2.0,78.7260594,0.0
1.0,20.0,5.0,5.0,1.0,4.0,1.0,1.0,5.0,5.0,0.0,1.0,7.38765348,17.0,9.49,0.400097753,4.0,6.0,62.27532732,0.0
0.0,19.0,1.0,4.0,3.0,5.0,4.0,1.0,5.0,4.0,0.0,0.0,16.279477083,43.0,22.26,1.516723337,10.0,1.0,89.60525568,0.0
0.0,20.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,47.139487322,20.0,2.59,0.170769619,7.0,9.0,64.09805306,0.0
0.0,21.0,5.0,4.0,3.0,5.0,2.0,3.0,5.0,5.0,0.0,1.0,48.80057497,6.0,2.03,0.346500089,3.0,4.0,61.70984454,0.0
0.0,26.0,5.0,2.0,4.0,5.0,4.0,4.0,0.0,5.0,1.0,1.0,4.603411147,45.0,37.89,0.962566935,8.0,4.0,75.0872977,0.0
0.0,24.0,1.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,63.832104682,148.0,51.38,2.025541413,13.0,1.0,99.32732424,0.0
0.0,21.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,220.832144866,61.0,8.83,0.749910401,9.0,2.0,82.53557384,0.0
0.0,19.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,5.0,0.0,0.0,17.011952568,73.0,20.27,0.589106073,7.0,4.0,84.32796758,0.0
0.0,19.0,2.0,5.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,10.064103646,108.0,42.32,2.724739342,12.0,3.0,98.836144,0.0
0.0,21.0,5.0,2.0,3.0,4.0,2.0,3.0,5.0,5.0,0.0,1.0,43.993031737,54.0,30.89,2.153936521,12.0,2.0,88.89214821,0.0
0.0,19.0,4.0,4.0,3.0,0.0,1.0,4.0,1.0,5.0,0.0,1.0,87.456972406,44.0,8.12,0.579843755,8.0,2.0,78.62278311,0.0
0.0,20.0,5.0,5.0,4.0,5.0,4.0,1.0,3.0,5.0,0.0,0.0,22.003357795,49.0,33.22,1.254051868,8.0,2.0,87.9361657,1.0
1.0,19.0,1.0,5.0,3.0,1.0,4.0,4.0,4.0,5.0,0.0,0.0,6.51150496,79.0,47.86,2.819161347,12.0,2.0,95.65403099,0.0
