Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
0.0,20.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,78.261737624,29.0,8.76,0.717645427,9.0,1.0,84.55597118,0.0
0.0,22.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,0.0,1.0,4.496821844,54.0,15.11,1.264534742,4.0,5.0,38.28973827,0.0
0.0,20.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,42.065232747,29.0,5.19,1.507893406,11.0,1.0,91.60709616,0.0
0.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,11.476252955,28.0,16.5,0.814967357,10.0,6.0,80.11625959,0.0
0.0,20.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,11.849652225,16.0,6.04,0.856595768,12.0,1.0,84.69280709,0.0
0.0,22.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,0.0,1.0,12.897075874,53.0,7.86,1.54970177,8.0,1.0,77.7920331,0.0
0.0,21.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,9.214007517,32.0,17.29,1.284297722,11.0,0.0,94.90621984,0.0
0.0,22.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,0.0,1.0,8.864840634,37.0,23.9,1.178071146,8.0,2.0,93.6160939,0.0
0.0,21.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,0.0,1.0,56.600696656,65.0,21.64,1.934666022,10.0,3.0,92.10316895,0.0
0.0,22.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,2.095681479,49.0,17.02,1.624803873,9.0,2.0,85.96220673,0.0
0.0,21.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,19.076602339,29.0,7.69,1.400758065,10.0,3.0,86.19604923,0.0
0.0,22.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,76.243797981,37.0,17.5,1.275676265,10.0,3.0,96.41446105,0.0
0.0,20.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,18.822284984,31.0,18.93,1.606559898,10.0,0.0,97.85306443,0.0
0.0,20.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,58.376438904,32.0,10.86,0.964294667,11.0,2.0,92.64078041,0.0
0.0,21.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,21.586776855,31.0,11.97,1.089443854,9.0,1.0,91.13945921,0.0
0.0,21.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,1.0,73.442480478,46.0,24.93,1.717953686,10.0,0.0,88.05187017,0.0
0.0,20.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,52.152616602,53.0,30.9,1.266211449,12.0,0.0,90.74916446,0.0
0.0,22.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,10.976945446,37.0,11.64,0.817931223,3.0,3.0,30.09215802,1.0
0.0,21.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,0.0,48.0,27.24,1.212717352,11.0,0.0,87.68115836,0.0
0.0,21.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,0.0,1.0,10.166086633,25.0,11.8,0.579383918,3.0,7.0,2.03466984,1.0
0.0,21.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,8.944458352,51.0,12.27,1.113010913,10.0,2.0,88.99997713,0.0
0.0,21.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,9.069345991,34.0,13.8,0.184037135,7.0,4.0,27.1013299,0.0
0.0,22.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,0.0,1.0,73.18634591,52.0,9.96,1.704352019,9.0,2.0,89.88839987,0.0
0.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,18.637324533,47.0,21.97,1.378069858,8.0,4.0,79.69898092,0.0
0.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,13.084275413,71.0,16.68,1.091506029,4.0,2.0,82.52973211,0.0
0.0,21.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,32.0,25.04,0.993899645,12.0,1.0,81.88795659,0.0
0.0,23.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,24.534221656,48.0,10.66,1.664920874,11.0,0.0,83.85188845,0.0
0.0,23.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,3.050069214,22.0,7.63,1.001128236,9.0,5.0,19.84654456,0.0
0.0,21.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,8.003764989,31.0,18.6,0.73474072,10.0,1.0,80.23468167,0.0
0.0,20.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,5.70086529,21.0,18.59,1.643678443,9.0,1.0,89.97470658,0.0
0.0,22.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,11.537988341,53.0,26.3,1.890789635,11.0,5.0,88.39899613,0.0
0.0,21.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,21.101412473,22.0,24.02,1.544894491,9.0,2.0,78.49623323,0.0
0.0,20.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,0.0,1.0,81.351587717,36.0,14.33,0.401326165,12.0,1.0,100.0,0.0
0.0,20.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,67.308696855,59.0,13.36,0.742064826,8.0,2.0,83.8956067,0.0
0.0,20.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,9.327305101,56.0,0.03,1.118218004,11.0,0.0,99.29685319,0.0
0.0,23.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,21.074169841,67.0,22.14,0.651899416,9.0,0.0,96.33344981,0.0
0.0,22.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,38.0,23.17,1.389364974,10.0,4.0,82.53530971,0.0
0.0,21.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,26.527830326,21.0,19.43,0.270506815,8.0,5.0,57.74063939,0.0
0.0,20.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,87.272462096,39.0,21.72,1.46842206,10.0,2.0,82.77619682,0.0
0.0,20.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,61.943329129,61.0,21.05,0.618768482,9.0,1.0,86.27423513,0.0
0.0,22.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,5.0,0.0,1.0,19.679345425,27.0,12.83,0.833308886,4.0,4.0,64.52900887,0.0
0.0,19.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,16.16109146,70.0,20.05,0.676452303,11.0,2.0,85.95642852,0.0
0.0,22.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,5.0,0.0,1.0,18.272816499,5.0,17.83,1.642702186,10.0,5.0,57.35964465,0.0
0.0,23.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,0.0,1.0,8.312972144,38.0,13.9,0.609715346,10.0,1.0,76.55579463,0.0
0.0,22.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,82.142686456,36.0,14.85,1.221026632,12.0,0.0,90.85680915,0.0
0.0,21.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,0.0,1.0,12.772888888,84.0,21.39,0.935255519,9.0,1.0,80.76876505,0.0
0.0,20.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,14.225039132,26.0,15.48,1.585103124,11.0,1.0,76.94610462,0.0
0.0,21.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,7.619154875,45.0,13.87,1.599141555,11.0,1.0,81.97130181,0.0
0.0,22.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,17.748485859,41.0,22.62,2.146066172,9.0,1.0,87.90050121,0.0
0.0,22.0,1.0,3.0,1.0,2.0,4.0,4.0,4.0,5.0,0.0,1.0,20.849240216,49.0,6.45,0.224663819,11.0,0.0,92.0484616,0.0
0.0,21.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,21.430974302,23.0,11.11,0.917316451,13.0,0.0,93.56570882,0.0
0.0,20.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,0.0,1.0,30.325871429,51.0,15.39,0.994675969,12.0,0.0,97.56816426,0.0
0.0,20.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,16.01304451,42.0,16.4,1.262361812,9.0,3.0,94.07225754,0.0
