id_assessment,id_student,date_submitted,is_banked,score
34877,350348,-2,1,45.0
15025,550120,117,0,65.0
1757,2364668,64,0,40.0
34878,616645,103,0,78.0
15006,428057,-2,1,79.0
24295,587577,54,0,77.0
34885,59862,-1,1,45.0
25365,1873426,-2,1,88.0
34881,2698588,-2,1,66.0
25335,2698588,15,0,69.0
25347,493829,-1,1,83.0
34886,588276,-1,1,75.0
14952,534011,138,0,61.0
24299,611774,-1,1,80.0
34902,591324,-1,1,93.0
34871,518812,14,0,62.0
30802,560046,69,0,79.0
25333,623458,19,0,80.0
34886,524144,0,1,74.0
25339,345661,-1,1,45.0
37421,626333,165,0,100.0
15018,405088,221,0,80.0
14983,563913,212,0,85.0
14984,512098,142,0,47.0
25336,2620543,215,0,67.0
24302,593728,-2,1,81.0
37438,621033,218,0,80.0
25393,644518,91,1,80.0
15025,581537,50,0,100.0
25324,2122218,54,0,39.0
1756,1286974,0,1,79.0
34886,368176,-1,1,77.0
25354,611135,15,0,63.0
14975,643581,7,0,100.0
34874,533124,132,0,81.0
24305,205090,-3,1,92.0
34865,534716,51,0,60.0
34867,605103,87,0,54.0
34891,593259,196,0,90.0
24317,638351,162,0,51.0
1761,179747,-1,1,85.0
15000,615271,141,0,100.0
14983,466410,121,0,74.0
34879,505989,-1,1,84.0
30760,615393,69,0,87.0
34891,587864,100,0,79.0
14994,316144,198,0,69.0
34875,541241,12,0,95.0
34894,590904,-2,1,95.0
37425,675045,83,0,100.0
34893,579353,213,0,77.0
34889,487522,-1,1,83.0
14988,664961,54,0,78.0
24271,146741,1,0,80.0
25338,2698588,218,0,67.0
24299,2005438,-1,1,83.0
30789,528865,109,0,83.0
25355,655547,218,0,64.0
15039,400333,209,0,52.0
15029,389096,90,0,72.0
34879,258061,97,0,72.0
34876,507920,0,1,74.0
34901,623330,231,0,73.0
30773,400849,-1,1,85.0
14960,493173,0,1,51.0
34874,615440,91,0,84.0
25387,1804573,227,0,36.0
24308,632818,166,0,91.0
14997,527979,-2,1,81.0
24285,2069623,59,0,97.0
34902,684374,201,0,78.0
34902,678873,87,0,72.0
34881,414128,-1,1,82.0
34883,305901,-2,1,67.0
15032,374975,-2,1,41.0
14980,555808,123,0,65.0
24313,1737865,90,0,35.0
14986,470408,-1,1,77.0
34883,568332,93,0,88.0
25339,2201250,-2,1,87.0
34885,632242,86,0,95.0
34884,377705,-1,1,71.0
34877,592473,123,0,100.0
14994,349375,-1,1,60.0
24292,584106,161,0,100.0
34868,490398,18,1,75.0
15008,515570,-2,1,70.0
15007,634905,13,0,65.0
24289,420877,129,0,71.0
25350,487409,-2,1,64.0
1757,2656919,113,0,65.0
15017,1595209,16,0,68.0
