id_assessment,id_student,date_submitted,is_banked,score
14988,596560,175,0,50.0
14993,550148,190,0,75.0
25357,619574,21,0,58.0
34899,601177,20,0,93.0
37421,612313,133,0,62.0
30718,642879,148,0,87.0
24284,465615,20,0,49.0
34902,560401,21,0,90.0
15001,607732,166,0,95.0
14989,500984,125,0,89.0
30714,586673,160,0,92.0
15032,642978,145,0,46.0
34892,110496,119,0,82.0
14982,509325,48,0,76.0
15016,656185,35,0,80.0
37429,644822,104,0,72.0
25345,548152,156,0,97.0
34885,2527865,58,0,88.0
24288,1107920,133,0,81.0
24293,601305,19,0,62.0
15007,599914,124,0,69.0
15010,329484,77,0,74.0
15027,697986,26,0,87.0
34884,633454,52,0,85.0
37407,2562673,215,0,88.0
34884,583579,202,0,40.0
25349,566680,24,0,81.0
24290,519955,239,0,91.0
30716,595369,48,0,63.0
24275,552319,232,0,66.0
25366,684239,50,0,80.0
15021,604482,113,0,71.0
34889,644517,118,0,69.0
34884,554104,225,0,85.0
24286,607048,233,0,87.0
34880,216537,83,0,51.0
1752,25981,116,0,69.0
34862,1557708,42,0,67.0
34870,1783269,101,0,92.0
34881,586630,22,0,69.0
25339,562366,174,0,62.0
25347,434651,84,0,71.0
15010,606279,108,0,78.0
34885,623498,213,0,100.0
34875,434261,202,0,69.0
15006,641701,152,0,50.0
37424,577175,160,0,58.0
34881,552472,114,0,79.0
25351,621012,50,0,88.0
34879,550691,123,0,76.0
34874,56924,104,0,77.0
34901,682394,94,0,86.0
34867,554948,146,0,79.0
25336,441776,66,0,52.0
25368,1956817,147,0,90.0
25344,577450,21,0,77.0
34864,531009,46,0,90.0
1752,108817,19,0,75.0
37438,622808,63,0,75.0
34910,617196,160,0,62.0
34901,611065,201,0,84.0
24294,588022,210,0,82.0
37413,617115,92,0,73.0
34906,698039,257,0,59.0
34875,453797,99,0,61.0
34871,111341,20,0,89.0
14999,503746,105,0,39.0
37438,694207,133,0,64.0
25338,504858,77,0,94.0
34885,622518,224,0,62.0
37413,105641,121,0,75.0
34876,473610,16,0,63.0
15014,600162,205,0,73.0
37417,512934,208,0,36.0
34901,420030,104,0,74.0
37431,420505,165,0,85.0
15015,593011,19,0,100.0
24291,515914,212,0,68.0
34901,646797,239,0,67.0
34889,575746,64,0,83.0
34859,544741,174,0,88.0
15020,333853,53,0,68.0
14999,593750,196,0,63.0
14992,349221,52,0,72.0
24289,237957,22,0,68.0
34891,580098,100,0,80.0
25354,596578,54,0,91.0
25350,109024,58,0,86.0
15003,116173,183,0,74.0
37415,621677,218,0,43.0
24294,613937,137,0,75.0
24293,561198,22,0,100.0
34878,150013,36,0,79.0
15009,637669,205,0,70.0
15001,568645,170,0,44.0
30723,89395,88,0,85.0
34886,391092,194,0,61.0
34879,437368,221,0,80.0
14991,1967627,91,0,100.0
37437,687018,51,0,80.0
34893,604550,216,0,51.0
14990,52128,160,0,79.0
15027,688975,127,0,64.0
25365,386558,71,0,72.0
25359,660595,26,0,62.0
25340,321267,32,0,73.0
34878,560399,84,0,41.0
34880,532415,28,0,39.0
14996,523837,107,0,37.0
25350,2100130,122,0,69.0
34872,139685,148,0,63.0
15014,579622,92,0,78.0
34901,634945,223,0,87.0
25358,643114,228,0,90.0
24291,589400,18,0,70.0
24298,586648,8,0,71.0
14991,185701,99,0,88.0
34898,121540,87,0,76.0
25369,342506,31,0,49.0
15012,407121,120,0,66.0
37421,639439,110,0,60.0
34876,517599,50,0,67.0
14987,1796541,57,0,65.0
34906,599371,197,0,77.0
14993,452119,175,0,36.0
25367,562991,64,0,64.0
34870,2025553,207,0,97.0
25346,538634,165,0,80.0
25350,253228,26,0,80.0
15017,608024,188,0,85.0
34886,606068,90,0,75.0
14995,596766,15,0,59.0
34904,607841,41,0,68.0
34879,570831,56,0,77.0
24295,611170,214,0,90.0
30716,517691,25,0,92.0
15012,101633,114,0,77.0
30717,550062,123,0,69.0
30710,2115376,48,0,87.0
24298,224015,242,0,93.0
25346,581740,58,0,93.0
34888,624912,51,0,76.0
34887,642900,134,0,75.0
15016,679493,168,0,49.0
25334,2285404,22,0,91.0
24295,619790,145,0,78.0
25345,579586,67,0,58.0
15009,550119,53,0,73.0
1768,252748,64,0,71.0
25356,580108,120,0,49.0
25347,553988,207,0,48.0
25362,677878,21,0,59.0
34897,412087,38,0,71.0
25342,492375,84,0,79.0
34887,568339,132,0,89.0
24293,655721,98,0,78.0
14988,438586,48,0,37.0
37422,610882,133,0,62.0
15021,91423,146,0,76.0
15003,595473,161,0,71.0
37428,684692,195,0,100.0
14995,581129,6,0,61.0
25355,432645,171,0,66.0
37418,578997,66,0,72.0
25337,542367,155,0,87.0
15009,594125,91,0,69.0
25332,559520,87,0,85.0
25347,2651270,122,0,78.0
24299,584161,24,0,61.0
34907,618175,104,0,79.0
37421,580109,124,0,71.0
14996,621213,122,0,100.0
37441,690870,122,0,58.0
25344,588528,32,0,88.0
15011,361633,163,0,74.0
34857,566873,31,0,76.0
25357,595121,20,0,69.0
37430,653335,134,0,78.0
15011,2132567,114,0,86.0
34874,2025732,178,0,65.0
34868,2094545,142,0,39.0
34881,602080,223,0,38.0
25351,627127,113,0,78.0
30710,431381,119,0,67.0
34905,625211,207,0,59.0
25349,160638,203,0,66.0
34860,450370,51,0,58.0
37432,611751,50,0,73.0
34882,602952,189,0,71.0
34905,601914,171,0,60.0
34863,507068,193,0,86.0
25353,2000883,78,0,87.0
37428,557463,96,0,39.0
15006,592580,162,0,36.0
34860,129221,18,0,70.0
37424,631840,200,0,100.0
34871,515594,19,0,40.0
25361,554523,153,0,10.0
34872,546973,19,0,94.0
14983,433796,76,0,92.0
25339,551159,23,0,75.0
34909,397005,164,0,78.0
24285,2345748,84,0,89.0
37421,635656,226,0,37.0
25341,405589,31,0,54.0
37422,555792,83,0,81.0
24295,529276,222,0,81.0
25347,562178,53,0,91.0
34877,600379,91,0,57.0
30712,548093,16,0,74.0
34897,620965,210,0,65.0
25337,551963,21,0,68.0
37443,693367,154,0,80.0
37439,375711,45,0,73.0
15004,606522,36,0,82.0
15004,543542,98,0,100.0
24295,512629,66,0,59.0
34886,642302,121,0,72.0
24288,615033,29,0,41.0
34885,562377,230,0,77.0
34878,356662,109,0,55.0
34866,2337843,103,0,94.0
25359,656123,29,0,89.0
25340,505621,28,0,78.0
14999,581131,49,0,57.0
25343,544778,26,0,87.0
14995,589336,56,0,67.0
30709,634115,157,0,95.0
15021,571195,194,0,84.0
34900,391947,198,0,71.0
24287,624200,177,0,90.0
34891,687101,128,0,76.0
34896,365447,46,0,72.0
15023,687907,209,0,96.0
25351,516762,19,0,87.0
14984,221794,19,0,73.0
14986,542304,30,0,88.0
25338,561705,49,0,97.0
25343,556113,27,0,89.0
30702,567688,122,0,75.0
34903,65057,56,0,89.0
34890,618428,242,0,71.0
30717,550678,135,0,80.0
34869,538574,149,0,92.0
14983,542515,56,0,100.0
15015,424942,99,0,72.0
14985,438567,24,0,50.0
14979,461418,165,0,59.0
15018,565849,22,0,79.0
24301,630137,59,0,60.0
14982,1880926,20,0,83.0
14997,594938,163,0,61.0
34892,608434,24,0,73.0
37417,381642,93,0,73.0
14998,542422,84,1,90.0
25338,495510,51,0,79.0
34881,542901,91,0,80.0
24295,380180,234,0,80.0
25362,677604,22,0,58.0
15003,501450,211,0,100.0
25344,417854,209,0,50.0
30703,531717,57,0,75.0
25343,533307,39,0,76.0
34896,625887,219,0,95.0
25353,612442,24,0,46.0
37423,655578,143,0,84.0
34894,692995,17,0,75.0
25345,513486,87,0,54.0
34897,502820,19,0,95.0
25338,464344,231,0,62.0
34875,2458285,149,0,99.0
34869,592794,38,0,74.0
14992,553915,44,0,78.0
15005,277711,200,0,68.0
24293,687236,22,0,95.0
37443,681439,163,0,40.0
14999,625228,9,0,66.0
34868,59054,204,0,86.0
15015,594235,216,0,51.0
37413,562346,232,0,58.0
25342,263365,68,0,57.0
14983,574041,48,0,79.0
14993,84441,22,0,81.0
37439,278571,108,0,100.0
34897,560088,128,0,86.0
30707,612337,123,0,84.0
25337,482399,27,0,66.0
34869,125945,107,0,100.0
14986,528639,50,0,93.0
25341,594248,20,0,71.0
34884,590648,228,0,63.0
24298,639973,147,0,49.0
15007,530382,220,0,100.0
34870,97348,178,0,86.0
34890,598896,186,0,75.0
37412,566899,125,0,70.0
25343,2652512,98,0,89.0
34875,585824,45,0,87.0
37422,599673,157,0,89.0
37441,381353,51,0,85.0
30706,345459,171,0,69.0
34874,234584,227,0,54.0
25350,563684,20,0,78.0
34862,506996,82,0,59.0
34880,611776,159,0,56.0
15012,34544,157,0,86.0
25336,538783,25,0,39.0
14975,504209,18,0,92.0
25337,529438,137,0,79.0
37440,694339,235,0,61.0
30713,608651,86,0,93.0
34907,331021,213,0,40.0
25334,407878,85,0,53.0
30704,612335,155,0,100.0
34884,626580,130,0,83.0
34870,521287,203,0,69.0
34883,2585189,140,0,88.0
24289,617652,30,0,63.0
24307,673140,22,0,77.0
25348,2019191,210,0,100.0
34882,608658,154,0,42.0
34894,543903,182,0,84.0
34896,565998,54,0,76.0
15018,636821,154,0,57.0
30724,562056,125,0,74.0
25354,1990740,87,0,80.0
25356,647807,138,0,74.0
37418,593880,55,0,39.0
34896,612289,17,0,85.0
