school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,17,U,GT3,T,1,4,teacher,other,home,father,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,1,4,4,1,1,5,1,16,11,15
GP,F,18,U,GT3,T,2,2,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,4,2,4,2,1,1,28,15,7,4
GP,M,17,U,GT3,T,2,3,services,other,course,mother,2,2,3,no,no,no,yes,yes,no,yes,no,2,3,3,1,3,5,17,19,6,13
GP,M,17,R,LE3,T,4,3,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,2,3,1,2,3,40,12,12,8
GP,F,16,R,GT3,T,4,1,other,other,other,father,1,4,0,no,yes,yes,no,yes,yes,yes,yes,2,2,4,2,1,1,11,18,5,5
GP,F,16,U,LE3,A,2,3,services,at_home,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,15,16,19,4
GP,F,19,U,LE3,T,3,4,other,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,5,19,9,8
GP,F,16,R,GT3,T,2,2,teacher,health,home,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,3,1,1,3,1,5,10,15,16,5
GP,F,15,U,GT3,T,2,1,health,services,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,2,3,1,4,4,10,17,0,5
GP,F,16,R,GT3,T,2,3,health,services,reputation,father,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,2,3,35,16,12,5
MS,M,19,U,GT3,T,3,4,teacher,other,course,mother,1,3,1,yes,no,no,no,yes,no,yes,no,3,5,5,2,2,2,3,15,14,4
MS,F,16,U,GT3,T,4,3,services,other,home,father,2,2,0,no,yes,yes,no,yes,yes,no,no,5,3,3,1,5,2,2,8,4,7
GP,M,18,U,GT3,T,4,1,other,services,course,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,4,2,2,1,5,21,13,7,8
GP,F,18,U,GT3,T,1,4,teacher,services,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,3,4,3,2,1,5,6,18,4,5
GP,F,16,U,GT3,T,2,3,at_home,services,home,father,1,2,0,yes,yes,yes,no,yes,yes,yes,no,5,2,4,2,3,3,2,17,9,5
GP,F,15,U,GT3,T,4,1,teacher,at_home,course,father,2,2,0,yes,no,yes,no,no,yes,no,no,4,5,2,1,1,4,4,16,8,10
GP,F,15,U,LE3,T,3,1,other,services,home,mother,1,2,0,no,yes,yes,no,no,yes,no,yes,5,3,3,1,1,4,1,14,6,14
GP,M,17,U,GT3,T,4,4,health,health,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,yes,5,3,2,2,3,2,0,16,18,8
GP,F,16,U,GT3,T,2,2,other,teacher,reputation,mother,1,3,0,no,no,yes,no,yes,yes,yes,yes,4,4,5,1,3,4,3,19,14,20
GP,F,18,R,LE3,T,2,4,other,services,course,mother,1,1,2,no,yes,yes,yes,yes,yes,yes,no,5,4,3,3,1,4,0,16,10,6
