code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
FFF,2014J,702193,M,Ireland,Lower Than A Level,20-30pct,0 to 35,0,60,N,Pass
GGG,2014B,567885,F,South Region,Lower Than A Level,80-90pct,35 to 55,0,40,N,Pass
CCC,2014J,683312,M,South Region,A Level or Equivalent,70-80pct,0 to 35,0,60,N,Pass
EEE,2014J,638147,M,South East Region,HE Qualification,30-40pct,35 to 55,0,40,N,Distinction
BBB,2013B,468731,F,South Region,Lower Than A Level,90-100pct,0 to 35,0,60,N,Pass
DDD,2013J,510111,F,North Western Region,Lower Than A Level,40-50pct,0 to 35,0,91,N,Pass
BBB,2013B,512590,F,South Region,A Level or Equivalent,70-80pct,0 to 35,0,60,Y,Pass
AAA,2014J,1894682,M,Ireland,HE Qualification,50-60pct,35 to 55,0,91,N,Pass
EEE,2013J,677918,M,South Region,Lower Than A Level,70-80pct,0 to 35,0,60,N,Fail
EEE,2013J,651530,F,North Western Region,Lower Than A Level,0-10pct,0 to 35,0,120,N,Fail
FFF,2014J,949268,M,London Region,HE Qualification,80-90pct,55 to 100,0,60,N,Fail
DDD,2014J,177194,M,West Midlands Region,A Level or Equivalent,30-40pct,0 to 35,0,121,Y,Fail
FFF,2013J,573864,M,North Western Region,HE Qualification,70-80pct,35 to 55,0,91,N,Pass
DDD,2013J,2530944,F,East Anglian Region,HE Qualification,50-60pct,0 to 35,2,60,N,Pass
DDD,2013J,596462,M,North Region,Lower Than A Level,20-30pct,0 to 35,0,60,Y,Withdrawn
FFF,2013B,321245,M,North Region,Post Graduate Qualification,20-30pct,35 to 55,0,60,N,Withdrawn
CCC,2014J,336976,M,Ireland,A Level or Equivalent,20-30pct,35 to 55,0,60,N,Pass
CCC,2014J,579959,F,Scotland,HE Qualification,50-60pct,0 to 35,0,120,N,Pass
BBB,2014J,128094,F,South Region,Lower Than A Level,40-50pct,35 to 55,0,60,N,Pass
GGG,2013J,578937,F,East Midlands Region,Lower Than A Level,80-90pct,0 to 35,0,40,N,Pass
FFF,2013B,589665,M,South East Region,HE Qualification,90-100pct,0 to 35,0,60,N,Withdrawn
GGG,2013J,567914,F,Yorkshire Region,Lower Than A Level,70-80pct,0 to 35,0,40,N,Pass
CCC,2014J,712741,M,West Midlands Region,Lower Than A Level,0-10pct,0 to 35,1,120,N,Pass
EEE,2014B,2716795,M,Scotland,HE Qualification,90-100pct,35 to 55,0,60,N,Pass
FFF,2014J,680679,M,East Anglian Region,A Level or Equivalent,80-90pct,0 to 35,0,121,N,Pass
EEE,2013J,2423205,M,Yorkshire Region,A Level or Equivalent,0-10pct,0 to 35,0,60,N,Pass
BBB,2014B,1957201,F,Scotland,Lower Than A Level,10-20,0 to 35,5,90,N,Fail
BBB,2013J,617515,F,Yorkshire Region,Lower Than A Level,0-10pct,0 to 35,0,60,N,Fail
DDD,2014J,580497,M,South Region,A Level or Equivalent,80-90pct,0 to 35,0,60,N,Pass
FFF,2014J,684934,M,West Midlands Region,Lower Than A Level,90-100pct,0 to 35,1,90,N,Pass
EEE,2014B,633099,M,Yorkshire Region,Lower Than A Level,0-10pct,35 to 55,0,40,N,Pass
DDD,2014B,2302256,F,East Midlands Region,A Level or Equivalent,0-10pct,0 to 35,4,91,N,Withdrawn
FFF,2013B,509555,M,South West Region,A Level or Equivalent,70-80pct,0 to 35,0,185,N,Withdrawn
FFF,2014J,613047,M,Scotland,HE Qualification,60-70pct,0 to 35,0,120,Y,Fail
CCC,2014B,575292,M,North Western Region,Lower Than A Level,60-70pct,0 to 35,0,120,N,Withdrawn
EEE,2013J,500402,M,South Region,Lower Than A Level,70-80pct,0 to 35,0,60,Y,Fail
FFF,2014B,624647,M,South Region,Lower Than A Level,70-80pct,0 to 35,0,150,N,Distinction
GGG,2014B,517417,M,North Western Region,A Level or Equivalent,0-10pct,35 to 55,0,40,N,Withdrawn
GGG,2013J,645064,F,Yorkshire Region,Lower Than A Level,50-60pct,35 to 55,0,40,Y,Distinction
AAA,2013B,338150,F,West Midlands Region,A Level or Equivalent,0-10pct,0 to 35,1,60,N,Pass
CCC,2014J,2585946,M,Yorkshire Region,A Level or Equivalent,30-40pct,35 to 55,0,120,N,Pass
FFF,2014J,2639187,M,Wales,HE Qualification,90-100pct,0 to 35,0,60,N,Pass
FFF,2013B,382378,F,West Midlands Region,A Level or Equivalent,40-50pct,0 to 35,0,183,N,Fail
FFF,2013B,521220,M,West Midlands Region,A Level or Equivalent,0-10pct,0 to 35,2,120,N,Withdrawn
CCC,2014J,602231,F,East Midlands Region,Lower Than A Level,30-40pct,0 to 35,0,91,N,Pass
EEE,2013J,542959,M,South Region,Lower Than A Level,90-100pct,35 to 55,0,40,N,Pass
CCC,2014J,1863592,M,East Anglian Region,HE Qualification,0-10pct,0 to 35,0,120,N,Fail
CCC,2014B,548996,M,North Region,Post Graduate Qualification,20-30pct,35 to 55,0,60,N,Withdrawn
FFF,2014B,2450524,M,West Midlands Region,Lower Than A Level,0-10pct,0 to 35,2,90,N,Fail
FFF,2013B,546551,M,Scotland,Lower Than A Level,50-60pct,0 to 35,0,60,N,Fail
DDD,2013B,524136,F,West Midlands Region,Lower Than A Level,0-10pct,0 to 35,0,60,N,Withdrawn
EEE,2014J,2282356,M,Scotland,HE Qualification,30-40pct,35 to 55,0,40,N,Pass
CCC,2014J,630511,F,East Midlands Region,A Level or Equivalent,80-90pct,0 to 35,0,60,N,Distinction
AAA,2013J,1969968,M,South Region,HE Qualification,80-90pct,35 to 55,0,60,N,Pass
CCC,2014B,542215,M,London Region,HE Qualification,30-40pct,0 to 35,0,90,N,Pass
FFF,2014J,2477590,M,East Anglian Region,Lower Than A Level,50-60pct,0 to 35,1,60,N,Fail
FFF,2013B,536949,M,South Region,Lower Than A Level,90-100pct,35 to 55,0,60,N,Distinction
FFF,2013J,1908943,M,Scotland,Lower Than A Level,70-80pct,35 to 55,0,90,N,Fail
FFF,2014J,628318,M,West Midlands Region,A Level or Equivalent,10-20,0 to 35,0,180,N,Pass
AAA,2013J,2158608,M,South Region,A Level or Equivalent,70-80pct,35 to 55,0,60,N,Pass
BBB,2014J,509585,F,South West Region,A Level or Equivalent,0-10pct,0 to 35,0,60,Y,Fail
CCC,2014J,672914,M,Yorkshire Region,Lower Than A Level,0-10pct,0 to 35,0,91,N,Fail
CCC,2014J,701672,M,West Midlands Region,Lower Than A Level,0-10pct,0 to 35,0,60,Y,Withdrawn
DDD,2013J,637178,F,Wales,Lower Than A Level,50-60pct,0 to 35,0,121,N,Pass
FFF,2014B,646537,M,South Region,HE Qualification,60-70pct,0 to 35,0,60,N,Pass
BBB,2014J,600829,F,West Midlands Region,A Level or Equivalent,30-40pct,0 to 35,0,60,N,Fail
BBB,2013J,506744,F,South Region,Lower Than A Level,50-60pct,0 to 35,0,60,N,Fail
CCC,2014J,536380,M,Yorkshire Region,Lower Than A Level,50-60pct,0 to 35,0,40,N,Withdrawn
BBB,2014B,577170,F,North Region,Lower Than A Level,20-30pct,0 to 35,0,90,N,Pass
CCC,2013J,505182,M,South West Region,A Level or Equivalent,30-40pct,0 to 35,0,182,Y,Fail
CCC,2014J,611206,M,South Region,HE Qualification,90-100pct,0 to 35,0,90,N,Withdrawn
GGG,2014J,607529,F,Yorkshire Region,Lower Than A Level,10-20,0 to 35,0,40,N,Pass
BBB,2013J,525886,F,South Region,HE Qualification,90-100pct,0 to 35,0,60,N,Pass
AAA,2014J,341498,F,Scotland,Lower Than A Level,90-100pct,0 to 35,0,120,Y,Fail
BBB,2013B,517344,F,Ireland,A Level or Equivalent,80-90pct,0 to 35,0,60,N,Distinction
FFF,2014J,567220,M,North Western Region,Lower Than A Level,50-60pct,0 to 35,0,78,N,Fail
EEE,2014J,565287,M,Scotland,HE Qualification,50-60pct,0 to 35,0,120,N,Pass
DDD,2014J,445751,F,South East Region,Lower Than A Level,80-90pct,0 to 35,2,184,N,Pass
EEE,2013J,590013,M,South East Region,Lower Than A Level,50-60pct,35 to 55,0,60,N,Pass
DDD,2013J,420199,F,North Western Region,A Level or Equivalent,70-80pct,0 to 35,0,60,N,Withdrawn
BBB,2013B,423755,F,South East Region,A Level or Equivalent,20-30pct,0 to 35,0,60,N,Pass
FFF,2014J,658282,M,Scotland,HE Qualification,70-80pct,0 to 35,0,60,N,Fail
FFF,2013B,589305,M,London Region,Lower Than A Level,70-80pct,0 to 35,4,120,Y,Withdrawn
DDD,2013J,515451,F,Yorkshire Region,A Level or Equivalent,50-60pct,0 to 35,0,60,N,Pass
EEE,2014J,552466,M,Scotland,A Level or Equivalent,50-60pct,0 to 35,0,90,Y,Pass
FFF,2014J,613649,M,West Midlands Region,A Level or Equivalent,0-10pct,0 to 35,0,120,N,Withdrawn
FFF,2013B,516591,M,South East Region,Lower Than A Level,70-80pct,0 to 35,0,120,Y,Distinction
CCC,2014J,657588,M,Scotland,A Level or Equivalent,60-70pct,0 to 35,0,60,N,Fail
GGG,2013J,306399,F,Scotland,HE Qualification,90-100pct,35 to 55,0,78,N,Fail
FFF,2013B,454145,F,East Anglian Region,A Level or Equivalent,70-80pct,0 to 35,0,149,Y,Distinction
FFF,2013B,398784,F,Yorkshire Region,A Level or Equivalent,50-60pct,0 to 35,1,121,N,Distinction
EEE,2014J,575292,M,Scotland,Lower Than A Level,90-100pct,0 to 35,0,60,N,Fail
GGG,2014B,554321,M,South Region,A Level or Equivalent,60-70pct,0 to 35,0,120,N,Withdrawn
FFF,2013J,592712,M,South West Region,A Level or Equivalent,10-20,0 to 35,0,187,Y,Fail
BBB,2013B,516449,F,South Region,A Level or Equivalent,80-90pct,0 to 35,1,60,N,Pass
EEE,2014B,185156,M,North Western Region,A Level or Equivalent,90-100pct,0 to 35,0,90,N,Withdrawn
BBB,2013J,568142,F,Wales,Lower Than A Level,0-10pct,0 to 35,0,60,Y,Fail
FFF,2013B,633989,M,London Region,A Level or Equivalent,0-10pct,0 to 35,1,60,N,Fail
DDD,2013B,336291,F,West Midlands Region,A Level or Equivalent,50-60pct,0 to 35,0,121,Y,Fail
BBB,2013B,456138,F,West Midlands Region,Lower Than A Level,0-10pct,0 to 35,4,121,N,Pass
FFF,2014J,568920,M,Yorkshire Region,A Level or Equivalent,60-70pct,0 to 35,1,121,N,Pass
BBB,2014J,522125,F,West Midlands Region,Lower Than A Level,60-70pct,0 to 35,1,121,N,Pass
BBB,2014B,585873,F,North Western Region,Lower Than A Level,90-100pct,0 to 35,0,121,N,Withdrawn
BBB,2014J,585097,F,London Region,HE Qualification,0-10pct,0 to 35,0,84,N,Pass
DDD,2014B,322440,F,South West Region,Lower Than A Level,50-60pct,0 to 35,2,91,Y,Withdrawn
FFF,2014J,580136,M,Scotland,Lower Than A Level,50-60pct,0 to 35,0,90,N,Fail
EEE,2013J,627216,M,North Western Region,Lower Than A Level,70-80pct,0 to 35,0,90,N,Distinction
BBB,2013J,515860,F,South East Region,A Level or Equivalent,50-60pct,0 to 35,0,60,N,Pass
BBB,2014J,624464,F,North Region,Lower Than A Level,0-10pct,0 to 35,0,60,N,Fail
FFF,2014J,489736,M,South Region,HE Qualification,60-70pct,35 to 55,0,90,N,Fail
EEE,2014J,635792,M,Scotland,Lower Than A Level,60-70pct,0 to 35,0,40,N,Withdrawn
FFF,2013J,621306,M,West Midlands Region,Lower Than A Level,30-40pct,35 to 55,0,90,N,Withdrawn
GGG,2013J,649115,M,Yorkshire Region,Lower Than A Level,50-60pct,35 to 55,0,40,N,Distinction
DDD,2014J,497495,F,Scotland,A Level or Equivalent,10-20,0 to 35,0,155,Y,Withdrawn
BBB,2014J,1463173,F,Wales,HE Qualification,30-40pct,0 to 35,0,120,N,Pass
DDD,2014J,41492,M,East Anglian Region,HE Qualification,60-70pct,55 to 100,0,121,N,Pass
CCC,2014J,569266,F,South West Region,HE Qualification,0-10pct,0 to 35,1,60,N,Pass
BBB,2013J,596366,F,Yorkshire Region,Lower Than A Level,10-20,0 to 35,0,121,N,Fail
FFF,2014B,1833502,F,Scotland,HE Qualification,90-100pct,35 to 55,0,60,N,Pass
FFF,2014J,1751988,M,Wales,HE Qualification,40-50pct,35 to 55,0,121,N,Pass
