code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
GGG,2013J,1107407,M,North Western Region,A Level or Equivalent,10-20,35 to 55,0,96,N,Fail
BBB,2013J,760142,M,East Anglian Region,A Level or Equivalent,20-30pct,0 to 35,0,56,N,Fail
AAA,2013J,253826,F,West Midlands Region,Lower Than A Level,70-80pct,35 to 55,0,46,N,Fail
DDD,2013J,465239,F,Wales,Lower Than A Level,80-90pct,35 to 55,0,123,Y,Withdrawn
BBB,2014J,884158,M,Yorkshire Region,A Level or Equivalent,30-40pct,0 to 35,0,93,N,Fail
DDD,2014J,1561466,M,East Anglian Region,A Level or Equivalent,80-90pct,0 to 35,0,66,N,Pass
FFF,2014B,662491,M,East Midlands Region,Lower Than A Level,60-70pct,35 to 55,0,81,N,Withdrawn
DDD,2013J,535867,M,London Region,Lower Than A Level,70-80pct,35 to 55,0,166,N,Withdrawn
DDD,2014J,519642,F,Scotland,Lower Than A Level,50-60pct,0 to 35,0,84,N,Withdrawn
DDD,2014B,1357216,M,Scotland,HE Qualification,30-40pct,0 to 35,0,47,N,Fail
EEE,2013J,488611,F,Ireland,Lower Than A Level,90-100pct,0 to 35,0,103,N,Pass
FFF,2013B,176610,M,Scotland,HE Qualification,0-10pct,35 to 55,0,66,N,Pass
BBB,2013J,1766466,F,Scotland,A Level or Equivalent,40-50pct,0 to 35,2,112,N,Pass
DDD,2014B,415296,M,Scotland,Lower Than A Level,60-70pct,0 to 35,0,107,N,Distinction
EEE,2014J,1535485,M,South Region,Lower Than A Level,30-40pct,0 to 35,0,69,N,Fail
GGG,2013B,733041,F,South West Region,Lower Than A Level,20-30pct,35 to 55,0,44,N,Pass
FFF,2014J,645333,M,Scotland,Lower Than A Level,60-70pct,0 to 35,1,83,N,Withdrawn
AAA,2014J,927291,M,East Anglian Region,A Level or Equivalent,80-90pct,0 to 35,0,79,N,Withdrawn
EEE,2014B,1094103,M,South East Region,A Level or Equivalent,70-80pct,0 to 35,0,53,N,Pass
FFF,2014J,1329767,F,East Anglian Region,Lower Than A Level,90-100pct,0 to 35,0,65,N,Fail
DDD,2014B,1236697,M,London Region,Lower Than A Level,90-100pct,0 to 35,0,102,N,Fail
GGG,2013J,262264,M,Scotland,A Level or Equivalent,50-60pct,35 to 55,0,61,N,Pass
GGG,2013B,566288,F,East Midlands Region,Lower Than A Level,10-20,35 to 55,0,72,N,Distinction
CCC,2013B,536539,F,South West Region,A Level or Equivalent,80-90pct,0 to 35,1,51,N,Pass
BBB,2013B,1082225,F,London Region,A Level or Equivalent,50-60pct,35 to 55,1,59,N,Fail
EEE,2014B,454546,M,London Region,Lower Than A Level,40-50pct,0 to 35,0,54,N,Withdrawn
FFF,2014J,591655,F,Yorkshire Region,Lower Than A Level,80-90pct,0 to 35,0,90,N,Fail
FFF,2014J,745332,F,East Midlands Region,A Level or Equivalent,10-20,0 to 35,0,174,N,Pass
FFF,2013J,799695,F,Scotland,HE Qualification,60-70pct,35 to 55,0,100,N,Fail
FFF,2014J,1104861,M,South Region,HE Qualification,70-80pct,0 to 35,0,95,N,Pass
FFF,2013B,1007703,M,East Midlands Region,A Level or Equivalent,30-40pct,35 to 55,0,137,N,Fail
DDD,2014J,269721,F,East Anglian Region,A Level or Equivalent,80-90pct,0 to 35,1,136,N,Pass
CCC,2013B,467959,M,Yorkshire Region,A Level or Equivalent,20-30pct,35 to 55,0,52,N,Withdrawn
BBB,2013J,867255,F,West Midlands Region,Lower Than A Level,90-100pct,0 to 35,0,53,N,Pass
FFF,2014J,848993,M,South East Region,A Level or Equivalent,50-60pct,0 to 35,0,48,N,Pass
DDD,2014B,69903,M,East Anglian Region,HE Qualification,40-50pct,0 to 35,1,51,N,Withdrawn
AAA,2014B,1296706,F,South Region,A Level or Equivalent,10-20,35 to 55,0,48,Y,Fail
CCC,2014B,272468,M,South Region,Lower Than A Level,20-30pct,0 to 35,0,109,N,Distinction
BBB,2014J,250327,M,North Region,Lower Than A Level,80-90pct,0 to 35,1,54,N,Pass
CCC,2014B,560431,M,South West Region,A Level or Equivalent,0-10pct,0 to 35,0,157,N,Fail
FFF,2014B,153079,M,East Anglian Region,A Level or Equivalent,10-20,0 to 35,0,120,N,Withdrawn
CCC,2014B,366469,M,South Region,Lower Than A Level,50-60pct,35 to 55,0,54,N,Withdrawn
FFF,2014J,843917,M,North Region,A Level or Equivalent,50-60pct,0 to 35,0,87,Y,Pass
CCC,2014J,460728,F,South West Region,A Level or Equivalent,10-20,0 to 35,0,79,Y,Fail
DDD,2014B,203243,M,South Region,Lower Than A Level,40-50pct,0 to 35,0,81,N,Fail
BBB,2014B,721042,F,North Western Region,Lower Than A Level,10-20,0 to 35,0,60,N,Fail
BBB,2013B,1147399,M,North Region,Lower Than A Level,10-20,35 to 55,0,98,N,Withdrawn
FFF,2013J,738190,F,Scotland,Lower Than A Level,80-90pct,0 to 35,1,74,N,Pass
FFF,2013J,908503,F,South East Region,A Level or Equivalent,20-30pct,0 to 35,0,76,N,Withdrawn
FFF,2014B,546929,M,London Region,Lower Than A Level,40-50pct,35 to 55,0,184,N,Withdrawn
