"code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"GGG","2014J",682100,"F","Wales","Lower Than A Level","90-100pct","35 to 55",0,30,"N","Withdrawn"
"FFF","2013B",508572,"M","Ireland","A Level or Equivalent","50-60pct","0 to 35",0,60,"N","Pass"
"FFF","2013J",343419,"M","South East Region","Lower Than A Level","90-100pct","35 to 55",0,60,"N","Pass"
"BBB","2013B",532034,"F","West Midlands Region","Lower Than A Level","60-70pct","0 to 35",0,60,"N","Distinction"
"DDD","2013B",125677,"F","London Region","No Formal quals","20-30pct","0 to 35",2,120,"N","Fail"
"DDD","2014J",643021,"F","Scotland","A Level or Equivalent","30-40pct","0 to 35",0,60,"Y","Pass"
"GGG","2013J",62975,"F","London Region","Lower Than A Level","10-20","35 to 55",0,30,"N","Pass"
"DDD","2013B",2231961,"M","West Midlands Region","A Level or Equivalent","20-30pct","35 to 55",1,240,"N","Fail"
"FFF","2014B",559449,"M","Ireland","Lower Than A Level","20-30pct","35 to 55",0,60,"N","Fail"
"GGG","2014J",595041,"F","East Midlands Region","Lower Than A Level","20-30pct","0 to 35",1,30,"N","Distinction"
"BBB","2013J",570157,"M","South Region","Lower Than A Level","0-10pct","0 to 35",0,60,"N","Fail"
"DDD","2014J",653793,"M","South West Region","Lower Than A Level","0-10pct","35 to 55",0,90,"N","Fail"
"CCC","2014B",600547,"M","South Region","Lower Than A Level","90-100pct","0 to 35",0,180,"N","Fail"
"FFF","2014B",629540,"F","Scotland","Lower Than A Level","70-80pct","35 to 55",0,60,"N","Fail"
"DDD","2014B",1804143,"F","East Anglian Region","Lower Than A Level","70-80pct","35 to 55",0,80,"Y","Pass"
"GGG","2014J",547334,"F","London Region","Lower Than A Level","10-20","0 to 35",2,30,"N","Withdrawn"
"EEE","2014J",628366,"F","Scotland","Lower Than A Level","10-20","35 to 55",1,90,"N","Withdrawn"
"EEE","2014J",614300,"M","Scotland","A Level or Equivalent","10-20","0 to 35",1,60,"N","Distinction"
"FFF","2013J",1859407,"M","North Region","A Level or Equivalent","10-20","35 to 55",0,120,"N","Withdrawn"
"DDD","2014J",583276,"M","North Region","HE Qualification","50-60pct","0 to 35",0,60,"N","Distinction"
"FFF","2014J",600773,"M","East Anglian Region","Lower Than A Level","10-20","35 to 55",1,60,"N","Fail"
"BBB","2014B",380184,"F","East Anglian Region","A Level or Equivalent","90-100pct","0 to 35",0,60,"N","Pass"
"GGG","2014B",614424,"F","London Region","Lower Than A Level","10-20","35 to 55",0,30,"Y","Pass"
"FFF","2013J",558090,"M","London Region","Lower Than A Level","40-50pct","0 to 35",0,60,"Y","Pass"
"GGG","2013J",597299,"F","North Western Region","Lower Than A Level","30-40pct","0 to 35",0,30,"N","Fail"
"FFF","2013J",564437,"M","North Region","A Level or Equivalent","20-30pct","0 to 35",0,90,"N","Pass"
"FFF","2014B",1984169,"M","Scotland","HE Qualification","80-90pct","35 to 55",0,60,"N","Withdrawn"
"GGG","2013J",584195,"M","South West Region","A Level or Equivalent","60-70pct","0 to 35",0,30,"N","Distinction"
"BBB","2013J",570168,"F","South Region","Lower Than A Level","80-90pct","0 to 35",0,75,"N","Pass"
"FFF","2014J",492557,"M","West Midlands Region","HE Qualification","20-30pct","35 to 55",0,60,"N","Pass"
"CCC","2014J",589463,"F","South Region","A Level or Equivalent","60-70pct","0 to 35",0,120,"N","Withdrawn"
"BBB","2014J",603203,"M","South East Region","Lower Than A Level","70-80pct","0 to 35",1,60,"N","Fail"
"FFF","2013B",531905,"F","Scotland","A Level or Equivalent","10-20","35 to 55",0,120,"Y","Withdrawn"
"DDD","2013J",1080206,"F","West Midlands Region","A Level or Equivalent","10-20","35 to 55",4,60,"N","Fail"
"DDD","2014J",649394,"M","Scotland","A Level or Equivalent","40-50pct","0 to 35",0,60,"N","Distinction"
"BBB","2013J",567598,"F","East Midlands Region","A Level or Equivalent","0-10pct","0 to 35",0,60,"N","Pass"
"BBB","2014J",691717,"F","Wales","HE Qualification","0-10pct","0 to 35",0,60,"N","Withdrawn"
"FFF","2014J",402695,"M","West Midlands Region","A Level or Equivalent","30-40pct","0 to 35",0,60,"N","Pass"
"BBB","2013J",598253,"F","Wales","HE Qualification","40-50pct","0 to 35",0,120,"N","Pass"
"FFF","2014J",646551,"F","Yorkshire Region","A Level or Equivalent","10-20","0 to 35",0,120,"N","Withdrawn"
"DDD","2013B",532695,"M","Scotland","HE Qualification","30-40pct","55 to 100",0,120,"N","Pass"
"CCC","2014J",677018,"M","London Region","A Level or Equivalent","30-40pct","0 to 35",0,150,"N","Withdrawn"
"DDD","2013B",524378,"F","South West Region","A Level or Equivalent","20-30pct","35 to 55",0,60,"N","Distinction"
"FFF","2013B",529864,"M","East Anglian Region","Lower Than A Level","30-40pct","0 to 35",0,60,"N","Pass"
"BBB","2014B",611719,"F","East Midlands Region","Lower Than A Level","80-90pct","0 to 35",0,60,"N","Pass"
"CCC","2014B",100621,"F","North Region","Post Graduate Qualification","20-30pct","55 to 100",0,120,"N","Withdrawn"
"DDD","2013J",158611,"F","Yorkshire Region","Lower Than A Level","20-30pct","35 to 55",0,120,"N","Withdrawn"
"EEE","2014B",471018,"M","East Anglian Region","Lower Than A Level","10-20","0 to 35",0,60,"N","Pass"
"CCC","2014J",284095,"F","London Region","Lower Than A Level","30-40pct","35 to 55",0,60,"N","Pass"
"FFF","2014J",301074,"M","East Anglian Region","Lower Than A Level","60-70pct","0 to 35",0,60,"N","Withdrawn"
"EEE","2013J",560876,"M","East Anglian Region","A Level or Equivalent","60-70pct","0 to 35",0,30,"N","Pass"
"EEE","2014J",581887,"M","South East Region","Lower Than A Level","70-80pct","35 to 55",1,60,"N","Pass"
"CCC","2014J",555498,"F","North Western Region","Lower Than A Level","20-30pct","0 to 35",0,120,"N","Withdrawn"
"AAA","2014J",2273119,"M","South East Region","HE Qualification","90-100pct","0 to 35",1,30,"N","Pass"
"DDD","2013J",577401,"F","South Region","Lower Than A Level","40-50pct","0 to 35",0,120,"N","Fail"
"DDD","2014J",184409,"M","London Region","HE Qualification","10-20","55 to 100",1,60,"N","Fail"
"EEE","2013J",96873,"M","North Western Region","A Level or Equivalent","60-70pct","0 to 35",0,90,"N","Pass"
"DDD","2013B",1730611,"F","East Anglian Region","Lower Than A Level","60-70pct","35 to 55",0,90,"N","Withdrawn"
"FFF","2013B",519936,"M","South East Region","Lower Than A Level","90-100pct","0 to 35",1,120,"N","Withdrawn"
"FFF","2013J",576399,"M","Wales","A Level or Equivalent","10-20","0 to 35",0,120,"N","Fail"
"FFF","2014J",632276,"M","East Anglian Region","A Level or Equivalent","10-20","35 to 55",1,60,"N","Pass"
"AAA","2014J",648130,"M","North Region","Lower Than A Level","10-20","35 to 55",0,120,"N","Withdrawn"
"FFF","2014J",606293,"M","West Midlands Region","A Level or Equivalent","20-30pct","0 to 35",1,120,"N","Withdrawn"
"FFF","2013J",610774,"M","North Region","Lower Than A Level","10-20","0 to 35",0,60,"N","Withdrawn"
"AAA","2014J",574505,"F","West Midlands Region","A Level or Equivalent","60-70pct","35 to 55",0,60,"N","Pass"
"DDD","2014J",689198,"F","Scotland","A Level or Equivalent","20-30pct","0 to 35",0,60,"N","Fail"
"EEE","2014B",626749,"M","North Region","Lower Than A Level","20-30pct","35 to 55",0,30,"N","Pass"
"BBB","2014J",652818,"F","East Anglian Region","Lower Than A Level","0-10pct","35 to 55",0,120,"N","Withdrawn"
"GGG","2014J",656936,"F","North Western Region","Lower Than A Level","20-30pct","35 to 55",0,30,"Y","Fail"
"CCC","2014B",502868,"M","Scotland","HE Qualification","20-30pct","0 to 35",0,90,"N","Pass"
"BBB","2013J",593385,"F","Wales","Lower Than A Level","30-40pct","0 to 35",0,60,"N","Distinction"
"BBB","2014B",619265,"F","South West Region","HE Qualification","20-30pct","0 to 35",0,90,"N","Withdrawn"
"FFF","2013B",350660,"M","Ireland","HE Qualification","50-60pct","0 to 35",1,120,"N","Pass"
"DDD","2013J",381539,"M","Yorkshire Region","Lower Than A Level","90-100pct","0 to 35",1,60,"N","Withdrawn"
"GGG","2013J",597597,"F","South West Region","Lower Than A Level","70-80pct","0 to 35",0,30,"N","Fail"
"FFF","2014B",344451,"M","North Western Region","Lower Than A Level","10-20","0 to 35",0,120,"Y","Withdrawn"
"DDD","2014B",610170,"M","South East Region","A Level or Equivalent","10-20","0 to 35",1,180,"N","Withdrawn"
"DDD","2013J",590184,"F","West Midlands Region","A Level or Equivalent","10-20","0 to 35",0,150,"Y","Withdrawn"
"BBB","2013B",416654,"F","Scotland","A Level or Equivalent","30-40pct","0 to 35",0,120,"Y","Fail"
"DDD","2013J",560423,"M","North Region","Lower Than A Level","30-40pct","0 to 35",0,60,"N","Pass"
"FFF","2014B",629228,"M","East Anglian Region","A Level or Equivalent","50-60pct","0 to 35",0,60,"N","Pass"
"GGG","2013J",494291,"F","South West Region","Lower Than A Level","70-80pct","0 to 35",0,30,"Y","Pass"
"CCC","2014J",499420,"M","West Midlands Region","A Level or Equivalent","0-10pct","0 to 35",0,60,"N","Pass"
"FFF","2014B",605475,"M","South West Region","Lower Than A Level","90-100pct","35 to 55",1,120,"N","Pass"
"CCC","2014J",585662,"M","Scotland","HE Qualification","80-90pct","0 to 35",0,60,"N","Pass"
"GGG","2013J",596618,"F","South West Region","A Level or Equivalent","0-10pct","35 to 55",0,30,"N","Pass"
"GGG","2014J",690038,"F","Ireland","A Level or Equivalent","40-50pct","35 to 55",0,30,"N","Distinction"
"BBB","2013J",590713,"F","Ireland","Lower Than A Level","40-50pct","0 to 35",0,60,"N","Fail"
"FFF","2014J",629686,"M","South East Region","HE Qualification","40-50pct","35 to 55",0,90,"N","Pass"
"BBB","2013J",587071,"F","East Midlands Region","Lower Than A Level","30-40pct","0 to 35",0,60,"N","Pass"
"FFF","2013B",1936679,"M","South West Region","A Level or Equivalent","70-80pct","35 to 55",0,180,"N","Pass"
"FFF","2013B",541521,"M","Ireland","HE Qualification","80-90pct","0 to 35",0,60,"N","Pass"
"FFF","2014B",614163,"M","South West Region","A Level or Equivalent","10-20","0 to 35",0,60,"N","Pass"
"BBB","2013J",610745,"F","Wales","No Formal quals","20-30pct","35 to 55",0,60,"N","Fail"
