Model,Dataset,Accuracy Diff,F1 Score Diff,ROC AUC Diff
,1,0.08,0.09,0.03
,2,0.04,0.04,0.01
synthpop,3,0.04,0.01,0.01
,4,0.0,0.0,-0.01
,5,0.14,0.14,0.16
,Average,0.06,0.06,0.04
,1,0.38,0.38,0.46
,2,0.07,0.21,0.11
ds,3,0.09,0.09,0.16
,4,0.01,0.02,0.05
,5,0.31,0.26,0.13
,Average,0.17,0.19,0.18
,1,0.12,0.21,0.16
,2,0.0,0.01,-0.01
tvae,4,0.04,0.0,0.0
,5,0.25,0.24,0.12
,Average,0.1,0.12,0.07
,1,0.26,0.32,0.27
,2,0.05,0.07,0.05
gaussian_copula,3,-0.17,-0.15,0.03
,4,0.03,0.12,0.05
,5,0.27,0.25,0.15
,Average,0.09,0.12,0.11
,1,0.23,0.29,0.31
,2,0.16,0.2,0.18
copula_gan,3,-0.04,-0.02,0.11
,4,0.04,0.04,0.01
,5,0.08,0.2,0.24
,Average,0.09,0.14,0.17
,1,0.21,0.23,0.17
,2,0.13,0.22,0.11
ctgan,3,-0.04,-0.02,0.15
,4,0.07,0.01,0.0
,5,0.33,0.33,0.2
,Average,0.14,0.15,0.13
