Model,Dataset,Accuracy Diff,F1 Score Diff,ROC AUC Diff
,1,0.09,0.09,0.04
,2,0.01,0.0,0.02
synthpop,3,0.0,0.0,-0.03
,4,0.07,0.06,0.01
,5,0.15,0.15,0.15
,Average,0.06,0.06,0.04
,1,0.46,0.43,0.44
,2,0.04,0.15,0.11
ds,3,0.21,0.12,-0.08
,4,-0.08,-0.07,0.0
,5,0.14,0.14,0.14
,Average,0.15,0.15,0.12
,1,0.16,0.23,0.15
,2,-0.01,-0.01,0.0
tvae,3,0.0,0.0,0.0
,4,-0.08,-0.08,0.0
,5,0.18,0.17,0.09
,Average,0.05,0.06,0.05
,1,0.23,0.24,0.2
,2,0.03,0.03,0.06
gaussian_copula,3,0.0,0.0,0.01
,4,0.07,0.06,0.01
,5,0.26,0.23,0.2
,Average,0.12,0.11,0.1
,1,0.16,0.17,0.22
,2,0.14,0.18,0.17
copula_gan,3,0.0,0.0,0.01
,4,0.0,0.0,0.01
,5,0.02,0.15,0.25
,Average,0.06,0.1,0.13
,1,0.25,0.23,0.27
,2,0.08,0.16,0.09
ctgan,3,0.04,0.02,-0.02
,4,0.07,0.06,0.01
,5,0.26,0.25,0.17
,Average,0.14,0.14,0.1
