Model,Dataset,Between Synth/Real,Within Real,Within Synth
,1,0.439,0.493,0.449
,2,0.408,0.555,0.425
synthpop,3,0.426,0.583,0.449
,4,0.046,0.073,0.072
,5,0.75,0.771,0.791
,Average,0.414,0.495,0.437
,1,0.56,0.493,0.569
,2,0.756,0.555,0.371
ds,3,0.497,0.583,0.517
,4,0.223,0.073,0.216
,5,0.403,0.771,0.663
,Average,0.488,0.495,0.467
,1,0.564,0.493,0.522
,2,0.577,0.555,0.458
tvae,3,0.557,0.583,0.479
,4,0.188,0.073,0.18
,5,0.858,0.771,0.0
,Average,0.549,0.495,0.328
,1,0.557,0.493,0.499
,2,0.555,0.555,0.577
gaussian_copula,3,0.568,0.583,0.637
,4,0.13,0.073,0.207
,5,0.799,0.771,0.794
,Average,0.522,0.495,0.543
,1,0.572,0.493,0.614
,2,0.745,0.555,0.5
copula_gan,3,0.494,0.583,0.559
,4,0.179,0.073,0.186
,5,0.837,0.771,0.832
,Average,0.565,0.495,0.538
,1,0.558,0.493,0.523
,2,0.729,0.555,0.513
ctgan,3,0.513,0.583,0.393
,4,0.181,0.073,0.204
,5,0.5,0.771,0.775
,Average,0.496,0.495,0.482
