Model,Dataset,Accuracy Diff,F1 Score Diff,ROC AUC Diff
,1,0.11,0.1,0.06
,2,-0.02,-0.03,-0.02
synthpop,3,0.0,-0.03,-0.13
,4,0.02,0.02,0.02
,5,0.04,0.08,0.2
,Average,0.03,0.03,0.03
,1,0.46,0.44,0.46
,2,0.03,0.05,0.04
ds,3,0.08,0.09,0.29
,4,0.02,0.03,0.05
,5,0.03,0.08,0.14
,Average,0.12,0.14,0.2
,1,0.23,0.32,0.07
,2,0.0,-0.02,-0.06
tvae,3,0.0,0.05,0.18
,4,0.06,0.04,0.03
,5,0.04,0.03,0.16
,Average,0.07,0.08,0.08
,1,0.34,0.39,0.32
,2,0.01,0.01,0.03
gaussian_copula,3,0.0,0.05,0.14
,4,0.06,0.09,0.11
,5,0.12,0.07,0.17
,Average,0.11,0.12,0.15
,1,0.37,0.44,0.32
,2,0.05,0.06,0.06
copula_gan,3,0.0,0.05,0.24
,4,0.03,0.06,0.04
,5,0.0,0.08,0.26
,Average,0.09,0.14,0.18
,1,0.39,0.38,0.28
,2,0.02,0.06,0.01
ctgan,3,0.0,0.05,0.16
,4,0.04,0.03,0.02
,5,0.3,0.27,0.24
,Average,0.15,0.16,0.14
